,단어명,사회1분기빈도수,사회2분기빈도수,사회3분기빈도수,사회4분기빈도수,총빈도수
1197,국정원장,5,4,2,1,12
1428,수감,4,1,2,5,12
1188,남양주,5,3,3,1,12
1186,해도,5,1,4,2,12
1433,연관,4,1,2,5,12
2320,익사,1,2,5,4,12
2485,성인,1,6,2,3,12
1445,스마트,4,1,2,5,12
2291,보료,1,6,2,3,12
1472,신규,4,2,5,1,12
1479,통행,4,4,2,2,12
898,저수지,7,1,3,1,12
1491,요원,4,2,3,3,12
2268,결의,1,3,5,3,12
1105,무방비,6,3,2,1,12
2517,펑펑,1,3,5,3,12
2474,업계,1,3,3,5,12
2373,양주,1,9,1,1,12
2229,인간,1,7,3,1,12
2376,실체,1,5,2,4,12
2419,부품,1,1,7,3,12
1284,불응,5,3,2,2,12
1277,화장품,5,1,4,2,12
1266,통계,5,2,3,2,12
1320,즉각,5,1,5,1,12
1322,의장,5,2,3,2,12
1324,백화점,5,1,5,1,12
2405,중앙회,1,2,2,7,12
1263,공짜,5,4,1,2,12
1331,신원,5,3,3,1,12
1257,항공사,5,3,3,1,12
1255,순간,5,2,4,1,12
1343,고개,5,2,3,2,12
1348,거액,5,3,3,1,12
1350,제조,5,3,3,1,12
1352,작전,5,1,3,3,12
1353,편입,5,3,3,1,12
1356,투기,5,4,1,2,12
2384,논쟁,1,1,8,2,12
2443,그늘,1,2,7,2,12
1224,격차,5,3,2,2,12
1094,번호,6,3,1,2,12
1132,다툼,6,2,3,1,12
1858,기한,2,3,4,3,12
1587,안정,4,2,5,1,12
2075,코리아,2,4,4,2,12
2527,반영,1,5,4,2,12
1699,장난,3,3,3,3,12
2137,할아버지,2,1,5,4,12
2136,행진,2,2,4,4,12
2134,손배,2,6,3,1,12
1016,로부터,6,3,2,1,12
1695,동덕여대,3,1,2,6,12
2106,도마,2,5,2,3,12
1537,부근,4,5,1,2,12
1679,대선,3,5,3,1,12
945,상납,7,2,2,1,12
973,서울역,7,1,3,1,12
2537,장비,1,5,5,1,12
979,주거,7,1,3,1,12
1589,전용,4,2,5,1,12
2023,대규모,2,5,3,2,12
1710,안내,3,2,5,2,12
1057,민낯,6,1,4,1,12
1066,설명,6,2,3,1,12
2002,목격,2,6,3,1,12
1064,강행,6,2,1,3,12
1723,편지,3,5,3,1,12
1713,분통,3,3,2,4,12
983,위로,7,1,3,1,12
1562,상실,4,2,5,1,12
2188,고작,1,4,4,3,12
2176,유령,2,4,4,2,12
2008,서로,2,2,5,2,11
1878,필수,2,1,2,6,11
2033,반려,2,3,1,5,11
2009,장면,2,3,4,2,11
2035,회계,2,3,3,3,11
2037,북상,2,1,6,2,11
2014,등교,2,2,6,1,11
2424,가을,1,1,4,5,11
2046,동창,2,4,4,1,11
2003,정유,2,6,2,1,11
2413,경로,1,2,5,3,11
1945,무관,2,4,3,2,11
2449,대안,1,5,2,3,11
2079,조형,2,5,2,2,11
1949,서경덕,2,2,6,1,11
2515,금은,1,4,2,4,11
2224,낙태죄,1,6,2,2,11
2271,실습,1,4,4,2,11
2212,생리대,1,3,2,5,11
2499,촛불집회,1,5,2,3,11
2197,배출,1,6,2,2,11
2194,유전자,1,2,6,2,11
2321,낙태,1,2,7,1,11
2174,수시,2,2,3,4,11
2327,착취,1,5,3,2,11
2482,불꽃,1,3,4,3,11
2330,유튜브,1,1,4,5,11
1965,자제,2,2,6,1,11
2120,지법,2,5,3,1,11
1905,동물권,2,3,5,1,11
2345,야근,1,5,3,2,11
2454,아프리카,1,2,7,1,11
2367,한숨,1,3,4,3,11
2453,전형,1,5,3,2,11
2105,캠페인,2,4,3,2,11
2463,일회용,1,1,5,4,11
1273,지옥,5,3,2,1,11
1574,유리,4,2,4,1,11
1484,기내,4,3,2,2,11
1646,농민,3,2,4,2,11
1799,역학,3,3,4,1,11
1233,한밤,5,4,1,1,11
1231,통합,5,1,3,2,11
1476,임박,4,4,2,1,11
1800,대원,3,4,3,1,11
1640,임시,3,5,1,2,11
1477,민중,4,2,3,2,11
1804,열기,3,3,2,3,11
1805,공직,3,4,1,3,11
1796,행방,3,2,5,1,11
1375,발굴,4,2,2,3,11
1211,사무,5,4,1,1,11
1210,보강,5,2,2,2,11
1626,만료,3,1,4,3,11
1523,은혜,4,1,2,4,11
1524,번복,4,1,4,2,11
1192,조기,5,3,2,1,11
1817,약자,3,4,2,2,11
1187,커플,5,3,2,1,11
1648,심폐소생술,3,5,2,1,11
1267,여사,5,2,2,2,11
1621,탑승,3,2,2,4,11
1768,열정,3,4,2,2,11
1365,사정,5,3,2,1,11
1729,휠체어,3,3,3,2,11
1387,탈락,4,3,3,1,11
1714,후원,3,4,1,3,11
1332,여파,5,3,2,1,11
1326,후회,5,1,3,2,11
1414,사안,4,2,2,3,11
1687,대폭,3,3,1,4,11
1416,백신,4,3,1,3,11
1419,청사,4,5,1,1,11
1270,공소,5,2,2,2,11
1325,교감,5,1,3,2,11
1323,야구,5,2,2,2,11
1439,여객선,4,2,2,3,11
1309,빈소,5,1,2,3,11
1669,태국인,3,2,5,1,11
1663,관행,3,3,2,3,11
1294,파출소,5,1,3,2,11
1786,빌라,3,4,1,3,11
1789,취약,3,3,3,2,11
1819,소문,3,4,2,2,11
1378,절대,4,1,1,5,11
1534,체육,4,3,2,2,11
1099,이사,6,1,2,2,11
1854,일선,2,1,4,4,11
1837,물건,3,4,3,1,11
1848,앙심,2,6,1,2,11
1045,승소,6,1,2,2,11
1116,맥주,6,3,1,1,11
1134,완도,6,2,2,1,11
1608,강아지,3,3,4,1,11
1135,외출,6,1,2,2,11
1569,후임,4,3,3,1,11
1572,가게,4,3,2,2,11
1601,꼬리,3,2,5,1,11
1543,상당,4,1,4,2,11
1578,처남,4,5,1,1,11
1104,가출,6,2,2,1,11
1617,임용,3,1,6,1,11
1560,보상금,4,1,4,2,11
1831,시정,3,6,1,1,11
1612,쇼핑몰,3,5,1,2,11
1586,구입,4,3,2,2,11
1178,참가,6,1,2,2,11
1616,애도,3,2,5,1,11
1680,먹튀,3,1,3,3,10
1429,착용,4,1,4,1,10
1585,복원,4,4,1,1,10
2038,응시,2,5,2,1,10
1673,용서,3,1,3,3,10
1437,구제,4,1,4,1,10
1564,불공정,4,3,2,1,10
2234,마당,1,1,3,5,10
1397,입찰,4,1,1,4,10
1566,오해,4,2,2,2,10
2018,양육,2,2,2,4,10
1382,누나,4,2,3,1,10
2168,개장,2,3,4,1,10
2362,조선족,1,2,5,2,10
2355,중계,1,5,2,2,10
2011,동안,2,3,3,2,10
2180,콘텐츠,1,3,4,2,10
1704,다음주,3,3,1,3,10
2159,수갑,2,6,1,1,10
1567,소지,4,2,2,2,10
1702,설계,3,3,3,1,10
2055,자사고,2,1,4,3,10
1398,미스터리,4,2,3,1,10
2160,갑질,2,5,2,1,10
2030,옥살이,2,4,2,2,10
2054,서해,2,2,3,3,10
1461,장소,4,3,1,2,10
1453,헌법소원,4,2,1,3,10
2226,봉쇄,1,1,6,2,10
2127,비자,2,2,4,2,10
1483,압류,4,3,1,2,10
2223,사생활,1,1,4,4,10
2085,특별법,2,1,5,2,10
2267,부작용,1,2,3,4,10
1503,단순,4,2,1,3,10
1512,그날,4,3,2,1,10
2201,추돌사고,1,3,1,5,10
2260,박람회,1,3,5,1,10
2098,폭주,2,1,5,2,10
2101,곤란,2,3,1,4,10
1520,지점,4,2,2,2,10
1536,대학원,4,1,3,2,10
2111,헌법재판관,2,1,6,1,10
2128,방위,2,3,3,2,10
1549,중간,4,1,4,1,10
2215,하천,1,4,4,1,10
2286,인도,1,1,7,1,10
1603,시아버지,3,2,4,1,10
1645,인원,3,5,1,1,10
1602,차원,3,2,4,1,10
1595,파리,4,2,3,1,10
2071,본인,2,4,1,3,10
2144,누락,2,4,3,1,10
1464,태운,4,4,1,1,10
1652,재정,3,4,1,2,10
2146,민노총,2,4,2,2,10
1859,공연,2,1,6,1,10
2303,구축,1,5,3,1,10
1660,존재,3,2,1,4,10
1459,감동,4,2,1,3,10
1494,사과문,4,3,2,1,10
2351,조국,1,1,1,7,10
1972,성범죄자,2,1,5,2,10
2488,행렬,1,1,5,3,10
1978,일주일,2,1,5,2,10
2504,신발,1,4,1,4,10
1123,황당,6,2,1,1,10
2400,체불,1,3,4,2,10
1891,신임,2,3,3,2,10
2404,격분,1,5,3,1,10
1893,대체,2,1,1,6,10
1973,매도,2,4,3,1,10
1968,디자인,2,2,3,3,10
1771,스토킹,3,2,1,4,10
1163,끼리,6,1,2,1,10
1824,야생,3,2,2,3,10
2508,치유,1,3,3,3,10
1179,참여연대,6,2,1,1,10
1305,기분,5,2,2,1,10
1302,오른,5,1,2,2,10
1812,고문,3,1,3,3,10
1213,친딸,5,2,2,1,10
1811,부천,3,4,2,1,10
1929,전액,2,1,6,1,10
1219,수정,5,1,2,2,10
1244,무마,5,3,1,1,10
1226,독립,5,1,3,1,10
1232,식구,5,1,3,1,10
1980,노숙인,2,3,3,2,10
2435,활성화,1,1,6,2,10
1863,되풀이,2,3,4,1,10
1984,기피,2,6,1,1,10
989,유학,7,1,1,1,10
1109,목줄,6,1,1,2,10
1338,집안,5,2,2,1,10
1028,실제,6,2,1,1,10
1989,셀프,2,3,1,4,10
1121,먹이,6,1,1,2,10
1763,우린,3,2,2,3,10
2472,충주,1,3,3,2,9
2540,외상,1,4,2,2,9
1635,청정,3,2,1,3,9
1813,출입국,3,3,1,2,9
2255,해법,1,2,4,2,9
1516,처방,4,1,2,2,9
2466,한국사,1,4,3,1,9
2511,불기소,1,3,1,4,9
1214,유입,5,1,2,1,9
2457,정시,1,3,2,3,9
1492,소란,4,1,3,1,9
1194,분리,5,2,1,1,9
2087,경위,2,3,2,2,9
2086,대치,2,2,3,2,9
2165,교복,2,1,5,1,9
2544,학교폭력,1,2,5,1,9
1862,동해안,2,1,4,2,9
1641,웹툰,3,4,1,1,9
2170,선거운동,2,3,2,2,9
2240,나체,1,3,3,2,9
1823,부순,3,3,2,1,9
1851,날벼락,2,1,5,1,9
2140,약물,2,3,1,3,9
2512,시공사,1,2,5,1,9
2143,포장,2,1,4,2,9
2216,진학,1,3,2,3,9
2145,친환경,2,1,3,3,9
2130,오픈,2,4,1,2,9
2220,여기,1,1,5,2,9
1879,현역,2,1,4,2,9
1798,배포,3,2,3,1,9
1894,미제,2,4,2,1,9
2519,먼지,1,4,3,1,9
1547,낙서,4,1,1,3,9
2151,물의,2,3,2,2,9
2520,방향,1,2,3,3,9
2489,그냥,1,4,1,3,9
1847,악몽,2,2,3,2,9
1828,복무,3,1,2,3,9
1827,수상한,3,1,1,4,9
2155,기증,2,1,3,3,9
2232,등산,1,1,2,5,9
2114,이해,2,3,3,1,9
2486,민주화,1,5,2,1,9
1993,보고서,2,4,2,1,9
2448,제압,1,2,5,1,9
2407,계단,1,2,2,4,9
1333,수두,5,1,2,1,9
2049,연구원,2,2,4,1,9
2317,태아,1,1,6,1,9
2319,언론사,1,2,5,1,9
1776,서귀포,3,2,2,2,9
1962,매장,2,1,5,1,9
2357,발송,1,4,1,3,9
1311,중태,5,2,1,1,9
1672,오락가락,3,1,3,2,9
1718,상향,3,2,3,1,9
2411,악용,1,3,2,3,9
2040,환수,2,3,3,1,9
2074,확장,2,2,4,1,9
1780,드라마,3,2,3,1,9
1970,코레일,2,2,4,1,9
2331,화학,1,6,1,1,9
1985,줄줄이,2,2,3,2,9
1767,완료,3,3,1,2,9
1716,골프장,3,3,2,1,9
1692,통행료,3,1,3,2,9
1977,졸음,2,2,4,1,9
2013,시선,2,3,2,2,9
2024,정착,2,3,2,2,9
1396,갈취,4,1,3,1,9
2396,공채,1,2,4,2,9
1722,세력,3,4,1,1,9
2051,보름,2,3,2,2,9
1386,학위,4,1,3,1,9
2061,만족도,2,3,3,1,9
2434,살기,1,4,3,1,9
2072,실업,2,2,4,1,9
1748,데이,3,3,2,1,9
1997,이중,2,4,2,1,9
2433,가맹,1,4,3,1,9
1946,스타,2,1,5,1,9
1272,치기,5,1,1,2,9
2292,조물,1,6,1,1,9
2066,손자,2,3,3,1,9
2065,금괴,2,4,2,1,9
2293,법안,1,2,3,3,9
1745,번진,3,3,2,1,9
1380,포획,4,3,1,1,9
1712,회피,3,2,1,3,9
1954,트라우마,2,3,2,2,9
1733,일방,3,1,2,3,9
1782,생후,3,1,4,1,9
1441,무릎,4,2,1,2,9
2059,감옥,2,2,4,1,9
1730,원칙,3,2,1,3,9
2359,홈페이지,1,2,2,3,8
1575,사다리,4,1,1,2,8
2391,공정,1,2,3,2,8
1366,미달,5,1,1,1,8
1563,기적,4,1,2,1,8
2204,북미,1,4,2,1,8
2542,활용,1,2,2,3,8
2186,교환,1,2,3,2,8
2538,확충,1,2,3,2,8
1556,인터뷰,4,1,1,2,8
2178,열람,2,3,1,2,8
2193,특강,1,2,4,1,8
2523,회사원,1,4,2,1,8
2516,태국,1,1,5,1,8
1469,개헌,4,2,1,1,8
2350,제보자,1,5,1,1,8
2476,토론,1,2,3,2,8
2447,지문,1,1,3,3,8
2284,일침,1,3,1,3,8
2377,설득,1,1,4,2,8
1489,고공,4,2,1,1,8
2294,수치심,1,3,2,2,8
2426,시계,1,5,1,1,8
1282,영포,5,1,1,1,8
2307,평생,1,5,1,1,8
1517,대검,4,2,1,1,8
1205,다행,5,1,1,1,8
2251,이면,1,1,4,2,8
2250,재배,1,3,2,2,8
2243,청부,1,1,4,2,8
2480,공시생,1,4,1,2,8
2206,아시아,1,3,3,1,8
2236,바다로,1,2,3,2,8
2315,진심,1,3,2,2,8
1528,대행,4,2,1,1,8
2487,이어진,1,2,2,3,8
1435,권익위,4,1,2,1,8
2325,효율,1,2,2,3,8
2498,술값,1,3,2,2,8
2501,사용자,1,3,3,1,8
2334,갈수록,1,2,4,1,8
1401,고용부,4,2,1,1,8
1550,변기,4,1,2,1,8
1391,외제차,4,1,1,2,8
2209,세로,1,2,4,1,8
1860,위치,2,3,2,1,8
2545,극복,1,3,3,1,8
2172,주가,2,2,3,1,8
1725,파도,3,1,3,1,8
1720,마감,3,2,2,1,8
1709,지갑,3,2,2,1,8
1698,단서,3,1,2,2,8
1697,초등학생,3,2,2,1,8
2029,순천,2,1,3,2,8
1681,별거,3,2,2,1,8
2042,고기,2,2,3,1,8
2044,과연,2,1,2,3,8
1667,전락,3,2,2,1,8
1666,생태,3,1,3,1,8
1662,객실,3,3,1,1,8
1658,충남지사,3,2,2,1,8
2067,서명,2,3,2,1,8
2070,숨기,2,1,4,1,8
2093,상관,2,1,2,3,8
2094,존중,2,2,3,1,8
2097,눈치,2,1,4,1,8
2104,집주인,2,4,1,1,8
1627,보행,3,1,1,3,8
2110,폐렴,2,2,2,2,8
2116,조류,2,1,2,3,8
2171,조합원,2,2,3,1,8
1996,재발,2,4,1,1,8
2119,배당,2,3,2,1,8
1994,수뢰,2,2,1,3,8
1864,교내,2,2,2,2,8
1839,이익,2,1,1,4,8
1838,베란다,3,3,1,1,8
1887,간음,2,1,4,1,8
1836,적법,3,2,1,2,8
1834,점심,3,3,1,1,8
1906,무전,2,1,4,1,8
1913,구간,2,2,3,1,8
1915,고속버스,2,1,2,3,8
1919,자꾸,2,2,3,1,8
1920,정년,2,2,3,1,8
1922,인격,2,1,1,4,8
1923,생활비,2,2,1,3,8
1801,파행,3,2,1,2,8
1793,지위,3,1,3,1,8
1947,신속,2,4,1,1,8
1948,도지사,2,2,3,1,8
1955,아웃,2,4,1,1,8
1774,다수,3,1,3,1,8
1770,혈세,3,2,1,2,8
1969,강조,2,3,2,1,8
2117,시내,2,2,2,2,8
2007,세번,2,2,3,1,8
2166,좌절,2,3,2,1,8
2148,조준,2,1,4,1,8
1592,철저,4,2,1,1,8
1581,배치,4,2,1,1,8
1604,각종,3,2,1,2,8
2132,푸드,2,1,4,1,8
2152,심층,2,3,1,2,8
2167,살이,2,1,4,1,8
2189,토사,1,2,2,2,7
2429,리나,1,2,3,1,7
2156,금감원,2,1,3,1,7
2039,모자,2,2,2,1,7
1682,사직서,3,1,2,1,7
1950,총파업,2,1,3,1,7
1951,기여,2,2,1,2,7
2045,세월,2,2,2,1,7
2423,억원,1,1,3,2,7
2034,하차,2,1,1,3,7
1943,민폐,2,1,2,2,7
2203,하자,1,2,3,1,7
2032,절단,2,2,2,1,7
1937,반격,2,1,2,2,7
2462,참작,1,4,1,1,7
2296,무조건,1,2,3,1,7
2458,잔혹,1,1,3,2,7
1460,사후,4,1,1,1,7
1928,수령,2,2,2,1,7
1802,악마,3,2,1,1,7
2452,재개발,1,2,3,1,7
2451,주먹,1,2,2,2,7
2157,입사,2,1,1,3,7
1661,법조,3,1,2,1,7
1933,나눔,2,1,3,1,7
2210,만기,1,3,1,2,7
2441,복용,1,1,2,3,7
2440,헌금,1,1,2,3,7
2438,학종,1,3,2,1,7
2208,심경,1,2,3,1,7
2338,인증샷,1,3,2,1,7
2141,손해,2,1,2,2,7
2028,대학병원,2,3,1,1,7
2374,대국민,1,2,2,2,7
2372,외교관,1,1,3,2,7
2370,태양광,1,1,2,3,7
1998,해운대,2,2,1,2,7
2001,개교,2,1,2,2,7
2380,가나,1,2,3,1,7
2381,양보,1,2,2,2,7
2364,신종,1,4,1,1,7
2363,원아,1,3,1,2,7
1609,준수,3,1,2,1,7
2385,구비,1,2,2,2,7
2386,신용,1,4,1,1,7
1749,온실가스,3,1,1,2,7
1754,조율,3,1,2,1,7
1986,교권,2,3,1,1,7
2395,탄생,1,2,3,1,7
1715,빈곤,3,2,1,1,7
2401,막무가내,1,1,4,1,7
2403,농약,1,1,1,4,7
1975,약사,2,3,1,1,7
2406,출입문,1,3,2,1,7
2348,중재,1,2,3,1,7
2020,체감,2,2,2,1,7
1554,주가조작,4,1,1,1,7
1967,금주,2,1,3,1,7
2409,눈앞,1,3,1,2,7
2147,협정,2,2,1,2,7
1924,화재현장,2,2,1,2,7
1808,남아,3,1,1,2,7
2378,화이트리스트,1,1,4,1,7
1914,삭발,2,2,1,2,7
1573,개막,4,1,1,1,7
2088,고함,2,2,2,1,7
1902,절벽,2,1,2,2,7
1636,발끈,3,2,1,1,7
2092,피고,2,3,1,1,7
2239,윤석열,1,1,2,3,7
1833,또래,3,1,1,2,7
2133,참가자,2,1,3,1,7
2500,일자,1,2,2,2,7
1844,집착,2,3,1,1,7
2465,도살,1,1,3,2,7
2518,역시,1,3,2,1,7
2257,지기,1,1,2,3,7
2096,실험,2,1,2,2,7
1888,언어,2,2,2,1,7
2100,멧돼지,2,2,2,1,7
1629,비만,3,1,2,1,7
2510,여가부,1,3,2,1,7
2249,기장,1,2,2,2,7
2113,총선,2,2,2,1,7
2109,손녀,2,2,2,1,7
2276,인척,1,1,2,3,7
2129,신문,2,1,2,2,7
2469,동두천,1,1,4,1,7
2162,신한은행,2,1,2,2,7
2163,해지,2,1,1,3,7
1865,장병,2,3,1,1,7
1918,대포통장,2,2,2,1,7
1642,강경,3,1,1,2,7
2282,도민,1,1,3,2,7
2281,성년,1,1,3,2,7
2081,조사해,2,3,1,1,7
1840,지능,2,1,2,2,7
1870,인수,2,2,1,2,7
2478,해산,1,3,2,1,7
2479,태안,1,4,1,1,7
2533,국립공원,1,2,3,1,7
1882,실시간,2,2,1,1,6
2175,홀인원,2,1,1,2,6
2383,이념,1,1,3,1,6
2524,이용자,1,2,2,1,6
2543,생존권,1,1,3,1,6
1841,용품,2,2,1,1,6
1867,이낙연,2,2,1,1,6
2379,성황리,1,2,2,1,6
1759,남원,3,1,1,1,6
1874,냉장고,2,1,2,1,6
1755,수립,3,1,1,1,6
2526,관리자,1,2,2,1,6
2541,이내,1,2,1,2,6
1845,분산,2,2,1,1,6
1876,서초구,2,1,1,2,6
1880,워크숍,2,1,1,2,6
2158,동성애,2,1,2,1,6
2177,표정,2,1,1,2,6
1942,프랑스,2,2,1,1,6
2459,애견,1,1,3,1,6
1995,원전,2,1,1,2,6
2456,안성,1,2,1,2,6
2455,명분,1,2,2,1,6
2475,외고,1,2,1,2,6
1916,수제,2,1,1,2,6
1935,동아,2,1,2,1,6
1936,국가대표,2,2,1,1,6
2481,불가능,1,1,3,1,6
2439,통학버스,1,1,3,1,6
1938,정신병,2,2,1,1,6
1911,가세,2,2,1,1,6
1963,악의,2,1,2,1,6
1910,가입자,2,1,2,1,6
1829,산업혁명,3,1,1,1,6
2492,인연,1,2,2,1,6
2493,국면,1,1,3,1,6
1895,아이돌,2,1,2,1,6
2421,전과자,1,1,3,1,6
2192,설사,1,1,3,1,6
2416,개조,1,2,2,1,6
2502,국민대,1,3,1,1,6
1890,중년,2,1,2,1,6
1957,신념,2,2,1,1,6
1956,가위,2,2,1,1,6
1606,교제,3,1,1,1,6
2309,애완견,1,1,3,1,6
2312,칼부림,1,1,2,2,6
2322,졸업,1,1,2,2,6
2218,층간소음,1,1,1,3,6
1647,심정지,3,1,1,1,6
2217,몸싸움,1,3,1,1,6
2246,부러,1,3,1,1,6
2342,염려,1,2,2,1,6
2248,이야기,1,2,2,1,6
2283,불명예,1,2,1,2,6
2056,근본,2,2,1,1,6
1637,바닷가,3,1,1,1,6
2352,퍼포먼스,1,1,1,3,6
2258,대포,1,1,3,1,6
1689,고령화,3,1,1,1,6
2095,브랜드,2,2,1,1,6
2262,배우자,1,2,2,1,6
2084,동상,2,1,2,1,6
2214,자신감,1,2,2,1,6
2326,차림,1,1,2,2,6
2089,강도짓,2,1,2,1,6
1598,안장,3,1,1,1,6
2108,총기,2,1,2,1,6
2207,부문,1,1,2,2,6
2299,실력,1,1,2,2,6
2062,상징,2,1,2,1,6
2064,융합,2,1,2,1,6
2360,불똥,1,1,1,3,6
2068,자도,2,1,1,2,6
2300,초래,1,2,2,1,6
2222,일행,1,1,1,3,6
2199,관측,1,3,1,1,6
2301,안녕하십니까,1,1,2,2,6
2221,육박,1,2,2,1,6
2121,수집,2,2,1,1,6
2123,금연,2,2,1,1,6
2115,면죄부,2,2,1,1,6
1727,블록,3,1,1,1,6
2353,은퇴,1,3,1,1,6
2131,전학,2,2,1,1,6
2225,연차,1,2,2,1,6
2182,스크린,1,2,1,1,5
2274,무제,1,1,2,1,5
1907,한국판,2,1,1,1,5
2470,방출,1,2,1,1,5
2183,소독,1,1,1,2,5
2468,김치,1,2,1,1,5
2280,경찰차,1,1,1,2,5
2213,사의,1,2,1,1,5
2161,기원,2,1,1,1,5
2078,외벽,2,1,1,1,5
2467,검정,1,2,1,1,5
2288,감봉,1,1,1,2,5
2196,호화,1,1,1,2,5
2259,예능,1,1,1,2,5
2090,카지노,2,1,1,1,5
2242,친정,1,1,1,2,5
1857,창의,2,1,1,1,5
1868,항변,2,1,1,1,5
2536,심해,1,1,2,1,5
2535,관람,1,2,1,1,5
2231,무색,1,2,1,1,5
2531,묘연,1,1,2,1,5
2529,절감,1,2,1,1,5
2528,홍수,1,1,2,1,5
2525,사면,1,2,1,1,5
1871,연간,2,1,1,1,5
2237,실천,1,2,1,1,5
2107,민영,2,1,1,1,5
1881,마중,2,1,1,1,5
1899,유골,2,1,1,1,5
2245,미리,1,1,2,1,5
2103,발뺌,2,1,1,1,5
2509,존폐,1,1,1,2,5
2507,숭실,1,2,1,1,5
2505,평소,1,2,1,1,5
2254,창틀,1,1,2,1,5
2375,조속,1,1,1,2,5
2261,이웃집,1,2,1,1,5
1896,마케팅,2,1,1,1,5
2497,신중,1,1,2,1,5
2263,외모,1,1,2,1,5
2269,보유,1,1,1,2,5
2211,현상,1,1,2,1,5
2461,포상,1,2,1,1,5
1992,직후,2,1,1,1,5
2339,헌법재판소,1,1,2,1,5
2205,카메라,1,1,1,2,5
2200,옹벽,1,2,1,1,5
1952,안전성,2,1,1,1,5
2329,배신,1,1,1,2,5
2422,대감,1,2,1,1,5
2332,이직,1,1,2,1,5
2420,매입,1,1,2,1,5
2333,번지,1,2,1,1,5
2417,유럽,1,1,2,1,5
2295,차지,1,2,1,1,5
2415,방식,1,2,1,1,5
2393,교량,1,2,1,1,5
2430,자정,1,2,1,1,5
2153,의견서,2,1,1,1,5
2394,투성이,1,2,1,1,5
1964,개시,2,1,1,1,5
2356,스타벅스,1,1,2,1,5
2343,새끼,1,1,2,1,5
2010,전혀,2,1,1,1,5
2398,평등,1,2,1,1,5
2195,교재,1,1,2,1,5
2019,고도,2,1,1,1,5
2016,교육과정,2,1,1,1,5
2402,점령,1,1,2,1,5
1976,지망,2,1,1,1,5
2324,비중,1,1,2,1,5
1979,자초,2,1,1,1,5
2198,순찰,1,2,1,1,5
2306,장교,1,1,2,1,5
2305,커뮤니티,1,2,1,1,5
2308,김구,1,1,1,2,5
2446,쓴소리,1,1,2,1,5
2445,과열,1,1,2,1,5
2382,감히,1,2,1,1,5
2442,일해,1,1,1,2,5
2190,파타야,1,1,1,2,5
2365,마치,1,1,1,2,5
2313,타깃,1,1,2,1,5
2314,기독교,1,2,1,1,5
2058,한류,2,1,1,1,5
2361,수영,1,1,2,1,5
2050,공갈,2,1,1,1,5
2387,설비,1,1,1,2,5
2138,편법,2,1,1,1,5
1939,이륙,2,1,1,1,5
2302,독립운동,1,1,2,1,5
1990,체인,2,1,1,1,5
2297,무관용,1,1,1,2,5
2389,후송,1,2,1,1,5
2450,재수감,1,1,1,2,5
2371,오거돈,1,1,1,1,4
2534,답안,1,1,1,1,4
2233,레이저,1,1,1,1,4
2366,조장,1,1,1,1,4
2539,보조,1,1,1,1,4
2532,조항,1,1,1,1,4
2358,하나로,1,1,1,1,4
2530,천차만별,1,1,1,1,4
2460,향응,1,1,1,1,4
2238,노래,1,1,1,1,4
2318,싸가지,1,1,1,1,4
2289,구경,1,1,1,1,4
2471,탈북자,1,1,1,1,4
2444,승강기,1,1,1,1,4
2477,통진당,1,1,1,1,4
2278,미정,1,1,1,1,4
2277,큰일,1,1,1,1,4
2275,지열발전소,1,1,1,1,4
2316,연료,1,1,1,1,4
2181,유료,1,1,1,1,4
2490,손찌검,1,1,1,1,4
2349,함정,1,1,1,1,4
2266,딜레마,1,1,1,1,4
2425,내면,1,1,1,1,4
2496,급전,1,1,1,1,4
2506,교대,1,1,1,1,4
2252,명꼴,1,1,1,1,4
2341,도망,1,1,1,1,4
2247,수주,1,1,1,1,4
2408,도로교통법,1,1,1,1,4
2344,용납,1,1,1,1,4
2335,불황,1,1,1,1,4
