,단어명,사회1분기빈도수,사회2분기빈도수,사회3분기빈도수,사회4분기빈도수,총빈도수
448,해고,14,16,7,6,43
1173,고교생,6,12,21,4,43
1111,행사,6,13,15,9,43
1058,물질,6,11,21,5,43
665,도입,10,11,14,8,43
1883,욕설,2,18,9,14,43
726,주의,9,16,12,6,43
335,국정,17,13,9,4,43
493,이후,13,10,10,9,42
537,철거,12,13,13,4,42
225,간호사,23,8,8,3,42
1545,평균,4,14,14,10,42
367,라며,16,15,9,2,42
234,재산,22,7,7,6,42
910,조정,7,20,10,5,42
397,자택,15,8,10,9,42
706,자료,9,8,18,7,42
610,배상,11,13,8,10,42
1155,붕괴,6,14,18,4,42
594,논의,11,10,15,6,42
188,인권위,26,7,6,3,42
938,운행,7,7,15,13,42
1061,노동,6,19,14,3,42
291,전원,19,10,11,2,42
491,수당,13,15,7,7,42
671,곳곳,10,14,10,7,41
1639,수능,3,7,5,26,41
2428,임종헌,1,1,8,31,41
322,감염,18,4,18,1,41
464,효과,13,7,15,6,41
607,희망,11,17,9,4,41
677,승용차,10,9,15,7,41
192,후배,25,6,6,4,41
704,절반,9,13,7,12,41
355,활동,16,14,10,1,41
460,사랑,13,15,8,5,41
1071,전쟁,6,13,18,4,41
263,미성년,20,11,5,5,41
421,기록,14,4,17,6,41
1732,건국대,3,8,26,3,40
882,마리,8,16,8,8,40
584,경찰청,11,7,13,9,40
279,방해,19,13,5,3,40
455,여중생,14,10,12,4,40
559,전남,12,3,14,11,40
446,문자,14,13,8,5,40
401,회의,15,9,11,5,40
510,일자리,12,4,17,7,40
307,특활비,18,5,16,1,40
499,명예훼손,13,12,12,3,40
737,행정,9,7,16,8,40
1465,공단,4,10,20,6,40
1781,수거,3,25,8,4,40
385,지금,15,11,12,2,40
534,카드,12,10,14,4,40
714,증언,9,9,13,9,40
678,고의,10,14,15,1,40
553,전북,12,4,16,8,40
306,위안부,18,10,6,6,40
719,기관,9,14,7,10,40
142,남매,32,2,3,2,39
586,어린이,11,6,16,6,39
289,해경,19,5,9,6,39
796,법무,8,24,5,2,39
1122,공원,6,6,21,6,39
709,서비스,9,14,7,9,39
778,당신,9,12,8,10,39
509,여학생,12,12,13,2,39
1674,국제,3,7,24,5,39
802,보도,8,12,8,11,39
518,돌파,12,7,11,9,39
227,서지현,23,11,1,4,39
526,탈출,12,6,15,6,39
386,호텔,15,14,3,7,39
650,모텔,10,11,11,7,39
238,폐쇄,22,8,7,2,39
710,바다,9,11,14,5,39
1004,파문,7,15,11,6,39
473,무더기,13,13,10,3,39
271,해임,20,5,11,3,39
465,대한민국,13,11,7,8,39
1180,김명수,6,18,8,6,38
762,지인,9,9,15,5,38
804,국민연금,8,5,18,7,38
637,한국인,10,9,8,11,38
661,이웃,10,13,12,3,38
841,음란,8,11,16,3,38
852,관심,8,10,14,6,38
343,사형,17,7,8,6,38
296,어머니,19,3,12,4,38
988,보육,7,7,16,8,38
573,출산,12,13,6,7,38
519,입장,12,11,12,3,38
516,조직,12,9,11,6,38
558,전문,12,7,10,9,38
542,광장,12,9,12,5,38
337,바람,17,8,7,6,38
564,주의보,12,7,16,3,38
528,점검,12,9,11,6,38
903,분노,7,11,7,13,38
415,과거,14,12,5,7,38
413,통보,14,8,10,6,38
546,방송,12,9,13,4,38
395,구치소,15,13,9,1,38
376,보복,16,11,7,4,38
933,전면,7,14,9,7,37
1500,소비자,4,8,18,7,37
552,몰래,12,8,12,5,37
608,수도,11,7,8,11,37
604,비정규직,11,12,10,4,37
934,정당,7,7,13,10,37
797,법인,8,17,7,5,37
502,해상,13,7,13,4,37
457,알바생,14,9,10,4,37
302,예비,18,13,3,3,37
1222,카페,5,9,5,18,37
384,관광객,15,6,9,7,37
556,죄송,12,16,3,6,37
512,죽음,12,8,11,6,37
