,단어명,정치 빈도수,경제 빈도수,사회빈도수,사설빈도수,총빈도수
1631,고통,4,8,8,1,21
1468,로비,5,6,9,1,21
1622,올인,4,11,3,3,21
990,수여,9,4,7,1,21
2176,농촌,1,9,8,3,21
1875,우산,2,9,9,1,21
1782,간판,3,7,7,4,21
2471,둘째,1,2,16,2,21
1842,오히려,3,15,2,1,21
1288,진정,6,10,3,2,21
1544,규정,4,9,7,1,21
1669,황제,3,7,6,5,21
1371,내야,5,8,6,2,21
2350,피하,1,16,3,1,21
1708,시연,3,14,3,1,21
2477,소각,1,15,4,1,21
2348,작품,1,10,8,2,21
2063,불꽃,2,11,6,2,21
2197,무협,1,18,1,1,21
1927,오리,2,13,3,3,21
1345,외상,5,9,6,1,21
1822,지하,3,10,7,1,21
2089,젊은이,2,8,7,4,21
1674,수거,3,4,13,1,21
1671,관료,3,11,2,5,21
1238,마크,6,7,3,5,21
973,사죄,9,1,9,2,21
2495,동계올림픽,1,12,5,3,21
712,티스,14,4,1,2,21
1090,사안,8,4,7,2,21
1242,중대,6,11,3,1,21
1029,오사카,9,2,9,1,21
1644,고양이,3,5,7,6,21
1573,성적표,4,15,1,1,21
1493,휴대전화,4,9,6,2,21
1368,시청,5,8,7,1,21
916,현역,10,2,7,2,21
1911,전설,2,3,13,2,20
1838,태평양,3,11,4,2,20
1804,화제,3,10,6,1,20
2497,여수,1,13,4,2,20
1111,햄버거,8,7,4,1,20
2128,요리,2,11,6,1,20
1194,고향,7,2,9,2,20
1600,유가족,4,2,11,3,20
2422,영웅,1,3,14,2,20
1554,태양,4,14,1,1,20
1546,내내,4,3,11,2,20
1602,그냥,4,3,9,4,20
2157,가습기,1,15,3,1,20
1064,이메일,8,6,5,1,20
1653,탈취,3,13,3,1,20
944,지명,10,4,4,2,20
1164,어려움,7,9,3,1,20
2406,학습,1,14,3,2,20
1742,전부,3,6,9,2,20
1998,선풍기,2,15,1,2,20
1752,숫자,3,7,6,4,20
1649,압수,3,1,10,6,20
2294,화장,1,11,6,2,20
1964,고등,2,14,3,1,20
1290,유공,6,5,7,2,20
1387,추문,5,1,12,1,19
883,건국,11,1,5,2,19
1618,무릎,4,6,8,1,19
995,병사,9,3,5,2,19
1141,지침,7,9,2,1,19
1163,모습,7,3,8,1,19
1160,공백,7,8,2,2,19
1624,관행,4,11,3,1,19
1857,역설,2,10,3,4,19
1430,소설,5,6,6,2,19
2225,공공,1,12,4,2,19
1515,특례,4,8,5,2,19
1245,주일,6,6,5,2,19
2246,악몽,1,12,2,4,19
1477,유기,4,2,11,2,19
1621,불륜,4,1,13,1,19
798,시정,12,5,1,1,19
653,해리스,16,1,1,1,19
1183,배후,7,8,3,1,19
1970,건조,2,14,2,1,19
1939,카톡,2,13,3,1,19
2017,사인,2,9,7,1,19
2445,추월,1,14,2,2,19
745,쇄신,13,3,1,2,19
2052,어깨,2,5,10,2,19
1337,공론,5,8,2,4,19
1244,계절,6,10,1,2,19
1271,감당,6,7,2,4,19
1833,연령,3,11,3,2,19
2086,플랜,2,15,1,1,19
2097,과잉,2,13,3,1,19
1658,중독,3,5,9,2,19
2494,태블릿,1,9,8,1,19
2344,파산,1,10,6,1,18
1990,소문,2,10,5,1,18
2333,봉투,1,5,11,1,18
1908,한글,2,5,8,3,18
2014,김영란,2,8,7,1,18
821,김정일,12,1,3,2,18
2136,골목,2,8,6,2,18
2084,명문,2,5,6,5,18
2027,미얀마,2,14,1,1,18
1886,복직,2,3,11,2,18
2199,명중,1,10,6,1,18
800,해산,12,2,3,1,18
2424,실버,1,11,4,2,18
2360,상인,1,9,6,2,18
1870,선진국,2,13,2,1,18
2081,베일,2,13,2,1,18
2359,직업,1,7,7,3,18
1877,대여,2,14,1,1,18
1423,희생,5,2,9,2,18
904,통째,11,4,1,2,18
1091,이념,8,3,4,3,18
1382,발상,5,8,1,4,18
1049,과속,8,3,3,4,18
1841,노래방,3,5,9,1,18
1513,유일,4,7,4,3,18
1276,배경,6,8,3,1,18
1118,명칭,7,8,2,1,18
1277,자주,6,9,2,1,18
1051,존중,8,5,3,2,18
1343,기조,5,9,1,3,18
1719,지나,3,8,6,1,18
1534,국적,4,9,4,1,18
1287,가야,6,5,4,3,18
1625,난리,4,1,11,2,18
1813,정정,3,8,6,1,18
1038,하와이,8,5,4,1,18
980,당부,9,3,3,3,18
1139,제왕,7,1,4,6,18
1433,관여,5,3,9,1,18
1588,누진,4,11,1,2,18
1321,노벨상,6,5,2,5,18
1270,공동체,6,5,6,1,18
1191,사하라,7,3,7,1,18
919,응답,10,3,4,1,18
1222,도쿄,6,7,2,3,18
1754,비자,3,5,6,4,18
1201,사직,7,5,5,1,18
1407,장서,5,2,9,1,17
1987,달리,2,6,8,1,17
2336,오류,1,13,2,1,17
1316,한밤,6,2,8,1,17
1571,구분,4,11,1,1,17
775,정철,13,1,2,1,17
1761,대입,3,4,7,3,17
2214,고기,1,7,6,3,17
1286,영광,6,1,8,2,17
1279,최대한,6,8,1,2,17
1807,보이,3,6,3,5,17
937,애도,10,3,3,1,17
938,예의,10,5,1,1,17
2206,시속,1,8,7,1,17
1329,실체,5,4,6,2,17
2011,빈자리,2,13,1,1,17
1306,장병,6,3,7,1,17
1743,로켓,3,10,1,3,17
792,성의,12,2,2,1,17
988,비어,9,6,1,1,17
1000,강정,9,1,6,1,17
1553,청사,4,7,4,2,17
1136,근절,7,5,3,2,17
1792,조롱,3,1,11,2,17
1140,전방,7,4,2,4,17
1872,미약,2,3,11,1,17
1152,공직자,7,3,4,3,17
1767,구두,3,6,5,3,17
2177,국책,1,13,1,2,17
2286,급식,1,4,9,3,17
1683,편성,3,11,2,1,17
2096,탈락,2,8,5,2,17
2243,고령화,1,12,3,1,17
1845,스웨덴,3,9,1,4,17
1691,기한,3,10,3,1,17
1171,영구,7,3,6,1,17
1066,치유,8,2,6,1,17
1459,아무,5,1,5,6,17
1495,군인,4,4,8,1,17
1113,보라,8,5,2,2,17
1488,동력,4,10,2,1,17
1274,처럼,6,5,5,1,17
2265,식물,1,11,3,2,17
1101,주시,8,6,1,2,17
1221,문구,6,8,2,1,17
1676,무조건,3,5,6,3,17
2067,언론사,2,7,7,1,17
2486,오해,1,7,8,1,17
2317,앞바다,1,1,13,2,17
2282,조심,1,8,7,1,17
2508,유행,1,10,3,3,17
1341,군대,5,1,6,5,17
1520,동거,4,2,10,1,17
2280,추출,1,12,3,1,17
1394,입성,5,9,2,1,17
2091,화가,2,3,8,4,17
830,구상,12,2,1,2,17
1652,제소,3,12,1,1,17
2051,교실,2,9,3,3,17
2489,물건,1,8,7,1,17
2323,대륙,1,8,3,5,17
1666,지상파,3,8,5,1,17
962,대접,10,1,2,3,16
1693,차지,3,9,3,1,16
1757,세로,3,8,4,1,16
1685,연쇄,3,7,5,1,16
1604,문의,4,8,3,1,16
1750,목포,3,3,9,1,16
2059,전하,2,6,7,1,16
1672,증인,3,4,8,1,16
2093,안경,2,7,5,2,16
1422,배신,5,4,6,1,16
1344,외교관,5,1,9,1,16
932,출입,10,1,4,1,16
1147,고도,7,4,4,1,16
2104,축복,2,3,6,5,16
2029,가까이,2,11,2,1,16
1706,해커,3,11,1,1,16
1626,자해,4,2,8,2,16
1360,표시,5,7,3,1,16
1688,언론인,3,1,11,1,16
1938,일상,2,6,6,2,16
1843,박항서,3,3,8,2,16
1944,억제,2,11,2,1,16
1815,고백,3,2,8,3,16
2202,보전,1,9,5,1,16
2483,창작,1,11,1,3,16
1522,숙제,4,9,2,1,16
2484,대표팀,1,2,11,2,16
1952,뉴딜,2,12,1,1,16
1547,동아시아,4,5,3,4,16
2488,원천,1,12,2,1,16
1117,전투기,7,1,5,3,16
2324,화물차,1,8,6,1,16
1899,시안,2,6,6,2,16
866,연습,11,1,3,1,16
2268,표적,1,8,5,2,16
1266,부하,6,1,7,2,16
1778,격의,3,8,3,2,16
2275,배우자,1,7,6,1,15
1615,주역,4,3,6,2,15
941,질의,10,2,2,1,15
2179,입사,1,9,4,1,15
2135,베이,2,8,4,1,15
1447,여개,5,8,1,1,15
1529,할아버지,4,3,6,2,15
2407,괴담,1,3,7,4,15
2068,입시,2,4,3,6,15
2329,소녀,1,4,9,1,15
2274,물결,1,2,11,1,15
2426,금메달,1,5,6,3,15
1486,최후,4,5,5,1,15
1159,전술,7,2,4,2,15
2044,비극,2,3,6,4,15
2142,폴란드,1,9,4,1,15
1497,아야,4,8,1,2,15
1391,추구,5,7,2,1,15
1824,벼랑,3,7,2,3,15
1915,엄벌,2,3,6,4,15
1826,환상,3,1,4,7,15
1412,일자,5,6,2,2,15
1585,재앙,4,2,4,5,15
1148,위장전입,7,3,1,4,15
1190,실행,7,6,1,1,15
1192,거취,7,5,2,1,15
2181,그때,1,5,5,4,15
1774,그림자,3,8,1,3,15
908,외유,11,1,2,1,15
2185,전파,1,10,3,1,15
2453,터널,1,6,7,1,15
1205,복권,6,6,2,1,15
1963,부서,2,9,3,1,15
1562,강성,4,6,3,2,15
1549,기원,4,6,2,3,15
2439,네덜란드,1,6,5,3,15
2459,샤넬,1,9,3,2,15
2153,다툼,1,3,8,3,15
2151,타깃,1,11,2,1,15
1294,질타,6,4,4,1,15
936,공직,10,1,2,2,15
1441,우물,5,2,4,4,15
1145,봉합,7,5,2,1,15
1206,고집,6,3,1,5,15
2358,그녀,1,2,9,3,15
1188,운동권,7,1,4,3,15
2452,수감,1,2,11,1,15
1632,운전기사,4,3,6,1,14
1601,존경,4,5,3,2,14
1474,뭔가,4,3,1,6,14
993,함정,9,2,1,2,14
1542,분열,4,3,4,3,14
1473,아세안,4,8,1,1,14
1639,걸그룹,4,1,8,1,14
2174,외박,1,2,9,2,14
2074,모드,2,8,2,2,14
1467,더미,5,4,4,1,14
1110,압승,8,4,1,1,14
1543,여지,4,4,5,1,14
2173,한복,1,5,7,1,14
1675,공립,3,8,2,1,14
2267,차익,1,11,1,1,14
1643,스키,4,7,2,1,14
2332,노예,1,1,11,1,14
1595,직권,4,5,4,1,14
2165,예능,1,7,5,1,14
1636,쓰기,4,1,6,3,14
1668,고용노동부,3,7,3,1,14
1514,충분,4,5,4,1,14
1452,장면,5,5,3,1,14
1596,단순,4,8,1,1,14
2119,천국,2,3,8,1,14
2391,인지,1,10,2,1,14
2334,교육청,1,1,8,4,14
2158,라디오,1,6,4,3,14
1105,낙마,8,1,1,4,14
1788,만원,3,7,3,1,14
1816,소음,3,6,4,1,14
2009,사연,2,7,3,2,14
1934,놀이,2,5,5,2,14
1700,소유,3,6,3,2,14
1209,장군,6,3,4,1,14
1699,창구,3,9,1,1,14
2055,성향,2,6,4,2,14
1829,폭주,3,6,4,1,14
2427,품격,1,3,4,6,14
1695,되풀이,3,4,3,4,14
881,미국인,11,1,1,1,14
2062,부천,2,5,6,1,14
1717,전액,3,7,3,1,14
2041,집안,2,6,5,1,14
1803,무궁화,3,2,7,2,14
2460,활주로,1,3,9,1,14
1798,수십,3,4,6,1,14
1785,냄새,3,3,3,5,14
1954,우리나라,2,7,3,2,14
1352,세부,5,7,1,1,14
1896,억원,2,4,7,1,14
2327,맑은,1,3,8,1,13
2039,어른,2,3,4,4,13
1399,자존심,5,6,1,1,13
1924,학년,2,4,6,1,13
2230,포퓰리즘,1,3,1,8,13
1432,메모,5,1,6,1,13
1713,김밥,3,6,3,1,13
1123,행정부,7,4,1,1,13
1405,느낌,5,5,2,1,13
1181,김상곤,7,1,4,1,13
1718,칭찬,3,4,4,2,13
1054,임무,8,1,2,2,13
1296,보훈,6,3,3,1,13
2188,안위,1,8,3,1,13
1795,말로,3,7,1,2,13
1704,시비,3,1,8,1,13
1769,먹방,3,2,7,1,13
1909,수집,2,8,2,1,13
2302,부재,1,9,1,2,13
1481,법제처,4,5,3,1,13
2506,옥상,1,3,7,2,13
1862,퇴짜,2,4,1,6,13
1363,황당,5,4,3,1,13
1231,내기,6,2,4,1,13
1692,치명,3,7,2,1,13
2398,한판,1,7,4,1,13
2298,거대,1,9,2,1,13
1169,살포,7,1,4,1,13
1696,등산,3,3,5,2,13
1648,열정,3,4,5,1,13
1462,내정자,5,5,2,1,13
1667,역주행,3,5,2,3,13
1893,한국어,2,6,2,3,13
1589,예외,4,6,1,2,13
1702,공화국,3,3,1,6,13
1504,선포,4,7,1,1,13
2247,손상,1,7,4,1,13
1986,상식,2,4,6,1,13
1512,점점,4,3,4,2,13
2240,출산율,1,4,7,1,13
1454,과시,5,3,2,3,13
1007,테이블,9,1,1,1,12
1760,기상,3,4,4,1,12
2446,암초,1,8,2,1,12
1993,악성,2,7,1,2,12
1325,신년,6,2,3,1,12
1828,영향력,3,5,2,2,12
1035,싱크탱크,8,2,1,1,12
1796,절약,3,7,1,1,12
2337,위력,1,2,8,1,12
1055,잠수함,8,2,1,1,12
1078,도덕성,8,1,2,1,12
1599,애국,4,2,4,2,12
1458,번개,5,1,5,1,12
1507,고립,4,1,5,2,12
2310,선생님,1,3,5,3,12
1847,대중교통,3,2,6,1,12
2269,본질,1,3,3,5,12
2271,삼겹살,1,8,2,1,12
2502,미술,1,4,5,2,12
1994,정작,2,5,4,1,12
2075,제정,2,6,2,2,12
1397,천지,5,3,2,2,12
1606,심정,4,1,6,1,12
2021,안동,2,3,6,1,12
2147,코앞,1,8,2,1,12
2095,가기,2,4,5,1,12
1729,로남불,3,2,2,5,12
2047,허물,2,4,1,5,12
1611,질책,4,2,2,4,12
1705,자랑,3,5,1,3,12
1406,연출,5,1,5,1,12
2432,여유,1,7,3,1,12
2066,균형,2,7,1,2,12
2121,악용,2,6,1,3,12
1638,어버이날,4,4,3,1,12
2144,갈수록,1,6,4,1,12
2134,미소,2,5,4,1,12
2412,특급,1,3,7,1,12
1417,간첩,5,1,4,2,12
1642,복수,4,1,5,1,11
1745,역시,3,4,1,3,11
1085,정례,8,1,1,1,11
2228,이스라엘,1,6,1,3,11
1647,착각,3,2,5,1,11
2160,재생에너지,1,8,1,1,11
1219,현충원,6,2,1,2,11
2425,도덕,1,3,2,5,11
2226,길거리,1,3,6,1,11
1703,대량,3,5,2,1,11
1836,변명,3,3,3,2,11
1837,찬반,3,3,3,2,11
1250,표기,6,1,1,3,11
1236,용납,6,1,3,1,11
2403,초등,1,1,5,4,11
1258,퇴장,6,1,1,3,11
1180,화합,7,2,1,1,11
1681,괴물,3,1,5,2,11
2061,수험생,2,7,1,1,11
1884,학계,2,4,4,1,11
1273,남한,6,3,1,1,11
2300,호랑이,1,5,2,3,11
1342,환호,5,3,2,1,11
1664,도구,3,3,2,3,11
1275,우릴,6,1,2,2,11
2251,약자,1,6,3,1,11
1898,인척,2,2,4,3,11
1902,출력,2,7,1,1,11
1651,민주화,3,1,5,2,11
1935,노쇼,2,2,6,1,11
1567,수위,4,5,1,1,11
1318,대해,6,1,3,1,11
1799,우발,3,2,5,1,11
1765,접경,3,6,1,1,11
1420,명분,5,4,1,1,11
2168,개원,1,8,1,1,11
1768,일로,3,2,3,3,11
2433,공로,1,3,6,1,11
1741,만큼,3,4,3,1,11
1581,봉쇄,4,2,2,3,11
2184,자초,1,5,4,1,11
2186,성형,1,2,7,1,11
2341,다짐,1,7,2,1,11
1330,가라,5,3,1,2,11
1950,관찰,2,7,1,1,11
1996,가도,2,6,1,2,11
2152,공제,1,7,2,1,11
2279,해설,1,2,5,2,10
2002,천막,2,1,5,2,10
1662,전해,3,1,2,4,10
1861,보존,2,6,1,1,10
2252,정신질환,1,4,3,2,10
2035,손발,2,4,3,1,10
1386,욱일기,5,2,2,1,10
1711,신세,3,4,1,2,10
1680,몰락,3,4,1,2,10
2306,씨앗,1,6,2,1,10
1490,선글라스,4,4,1,1,10
1627,무능,4,1,1,4,10
1806,인격,3,2,4,1,10
1739,이건,3,1,4,2,10
1347,만드,5,2,1,2,10
1989,꼬리,2,2,4,2,10
2415,열쇠,1,1,6,2,10
1850,녹색,3,4,2,1,10
2345,교회,1,1,7,1,10
1885,우왕좌왕,2,5,2,1,10
1431,조사해,5,1,3,1,10
1734,망신,3,1,5,1,10
1659,감서,3,4,2,1,10
1801,무관심,3,4,2,1,10
2219,웃음,1,5,3,1,10
2431,그릇,1,2,6,1,10
1817,실력,3,4,1,2,10
1945,강국,2,6,1,1,10
2193,천재,1,4,3,2,10
2291,제청,1,4,4,1,10
1450,동지,5,1,3,1,10
1819,무허가,3,3,3,1,10
2116,거꾸로,2,2,1,5,10
2016,먹기,2,4,2,2,10
1831,감동,3,4,1,2,10
2245,차라리,1,5,1,3,10
1999,충성,2,3,1,4,10
1395,주석,5,2,1,2,10
2087,각오,2,3,2,3,10
1213,윤종원,6,2,1,1,10
1839,다보스,3,5,1,1,10
2437,주먹,1,2,6,1,10
1749,좌우,3,4,1,2,10
1726,관객,3,5,1,1,10
1777,불통,3,2,1,4,10
2287,한여름,1,5,1,2,9
2429,호킹,1,3,3,2,9
2307,판박이,1,2,5,1,9
2493,전이,1,6,1,1,9
1388,수호,5,2,1,1,9
2423,분리수거,1,1,6,1,9
2342,빌보드,1,2,5,1,9
2461,노리,1,1,6,1,9
2462,일본인,1,2,5,1,9
2463,직속,1,4,3,1,9
2339,이기,1,4,3,1,9
2328,제압,1,1,6,1,9
1282,첫걸음,6,1,1,1,9
2331,손주,1,1,6,1,9
1340,경의,5,1,1,2,9
2375,비관,1,6,1,1,9
1871,굴욕,2,2,3,2,9
2285,더욱,1,6,1,1,9
1773,출처,3,2,3,1,9
1808,지기,3,2,3,1,9
2221,형평성,1,5,2,1,9
2220,저주,1,4,2,2,9
1943,소신,2,3,3,1,9
1961,방망이,2,2,4,1,9
1962,오지,2,2,4,1,9
1968,역사상,2,3,3,1,9
2203,범죄자,1,2,5,1,9
2088,전락,2,4,2,1,9
1575,대적,4,3,1,1,9
2178,묘역,1,2,5,1,9
2010,김정,2,2,4,1,9
1516,자주포,4,2,2,1,9
1735,인사청문회,3,4,1,1,9
2148,훈련기,1,6,1,1,9
2143,절망,1,3,3,2,9
1609,부임,4,2,1,2,9
1710,적법,3,1,3,2,9
2049,업적,2,4,2,1,9
2109,이성,2,1,5,1,9
1657,깃발,3,4,1,1,9
2078,혐오,2,1,5,1,9
1665,물리,3,3,2,1,9
1679,자의,3,3,2,1,9
1932,여정,2,2,4,1,9
2189,채취,1,3,2,3,9
2283,개회,1,4,3,1,9
1860,권위,2,4,2,1,9
1858,행태,2,2,2,3,9
2278,개조,1,4,3,1,9
1869,쇄도,2,1,5,1,9
1863,저항,2,3,2,2,9
1906,정수,2,5,1,1,9
1483,불평등,4,2,1,2,9
1487,다해,4,2,1,2,9
1859,소원,2,1,5,1,9
1482,전례,4,3,1,1,9
2138,균열,2,3,2,1,8
2040,듯이,2,1,4,1,8
1715,역행,3,1,2,2,8
1629,회견,4,2,1,1,8
1464,타협,5,1,1,1,8
2498,사냥꾼,1,2,4,1,8
2155,정답,1,2,3,2,8
2050,쓰나미,2,2,3,1,8
2056,재능,2,2,2,2,8
2418,번진,1,3,2,2,8
2442,평등,1,1,4,2,8
1637,성주,4,1,2,1,8
2120,단절,2,4,1,1,8
2413,원자로,1,4,2,1,8
2411,연방,1,3,3,1,8
2077,폭격,2,2,3,1,8
1878,자꾸,2,1,4,1,8
2405,매뉴얼,1,1,5,1,8
2386,도마,1,5,1,1,8
1663,산물,3,3,1,1,8
2082,도청,2,3,2,1,8
2400,수백,1,2,3,2,8
1385,소나무,5,1,1,1,8
2355,엉터리,1,1,4,2,8
1820,서구,3,3,1,1,8
2008,슬픔,2,1,4,1,8
2183,특채,1,3,3,1,8
2470,기후,1,5,1,1,8
2312,유효,1,5,1,1,8
1530,경전,4,2,1,1,8
1979,움직,2,1,4,1,8
1956,문화유산,2,4,1,1,8
1959,지킴,2,3,2,1,8
1443,기득권,5,1,1,1,8
2257,추모식,1,2,4,1,8
1895,범법,2,2,3,1,8
1891,원래,2,2,3,1,8
2303,집필,1,1,3,3,8
2322,손바닥,1,3,3,1,8
1855,기만,2,3,1,2,8
2346,왕따,1,3,3,1,8
1772,참전,3,2,2,1,8
1812,과연,3,2,2,1,8
1917,출항,2,3,1,1,7
2080,다행,2,2,2,1,7
2473,인연,1,1,4,1,7
2474,그게,1,3,1,2,7
2487,눈빛,1,1,4,1,7
1811,방탄,3,2,1,1,7
1868,수로,2,2,2,1,7
2505,백년,1,3,1,2,7
1928,밥상,2,3,1,1,7
2479,음향,1,3,2,1,7
2410,로만,1,4,1,1,7
1997,조선시대,2,2,2,1,7
1942,합격자,2,3,1,1,7
1913,출하,2,3,1,1,7
1690,악순환,3,2,1,1,7
1912,양상,2,3,1,1,7
2417,기차,1,4,1,1,7
1846,중매,3,1,1,2,7
2028,나중,2,1,3,1,7
2025,선심,2,1,2,2,7
2023,이동식,2,3,1,1,7
1969,평일,2,3,1,1,7
1972,축사,2,2,2,1,7
1922,조의,2,1,3,1,7
1744,살림,3,2,1,1,7
2440,처지,1,3,2,1,7
1800,연가,3,1,1,2,7
1678,달인,3,2,1,1,7
2510,치기,1,2,3,1,7
2263,미팅,1,4,1,1,7
2234,병기,1,3,2,1,7
2235,현판,1,1,3,2,7
2215,키스,1,1,4,1,7
2238,겨눈,1,2,3,1,7
2126,노르웨이,2,2,2,1,7
2242,모자,1,2,2,2,7
2204,금도,1,3,1,2,7
1640,벨벳,4,1,1,1,7
1645,진영,3,1,1,2,7
2256,밀실,1,1,3,2,7
2308,족집게,1,4,1,1,7
2299,여러분,1,2,2,2,7
2352,민낯,1,3,1,2,7
1670,구경,3,1,2,1,7
2392,방패,1,1,4,1,7
2161,요소,1,4,1,1,7
2167,자서전,1,1,2,3,7
2381,가문,1,1,4,1,7
2363,번의,1,2,2,2,7
2273,무분별,1,1,1,4,7
1976,납득,2,2,1,1,6
1780,호프,3,1,1,1,6
2205,산실,1,3,1,1,6
2212,오바마,1,1,3,1,6
2172,메르켈,1,2,1,2,6
2171,중간광고,1,3,1,1,6
2469,찬물,1,2,2,1,6
2451,겨울철,1,2,2,1,6
2326,마나,1,2,1,2,6
1966,학점,2,1,1,2,6
2481,공연장,1,2,2,1,6
2231,장선,1,3,1,1,6
2232,절박,1,1,2,2,6
2236,죽지,1,2,2,1,6
2480,무너,1,3,1,1,6
1981,손짓,2,2,1,1,6
1925,출세,2,2,1,1,6
2241,감수,1,1,2,2,6
2313,잠시,1,3,1,1,6
2250,천명,1,1,2,2,6
2296,동남권,1,2,1,2,6
1883,부수,2,2,1,1,6
2504,바위,1,1,1,3,6
2276,출현,1,3,1,1,6
2290,홍수,1,1,2,2,6
2277,누굴,1,1,2,2,6
2349,빗속,1,2,2,1,6
2395,임자,1,1,3,1,6
1984,해프닝,2,1,2,1,6
2020,고비,2,1,1,2,6
2103,책상,2,2,1,1,6
1684,전념,3,1,1,1,6
2384,시트,1,3,1,1,6
2111,독수리,2,1,1,2,6
2070,건강검진,2,2,1,1,6
2374,장식,1,1,1,3,6
2053,석권,2,1,2,1,6
2370,상관,1,1,3,1,6
2421,저리,1,1,3,1,6
2369,항상,1,2,2,1,6
2351,파동,1,2,2,1,6
2367,맞선,1,2,2,1,6
2036,뭉치,2,1,2,1,6
2145,백종원,1,1,3,1,6
2180,개구리,1,2,2,1,6
2149,원점,1,3,1,1,6
2005,주머니,2,1,1,2,6
2441,국가보훈처,1,1,2,2,6
2353,예비군,1,1,3,1,6
1948,내분,2,1,1,1,5
2311,존폐,1,2,1,1,5
2376,몸짓,1,1,1,2,5
2254,몸통,1,1,2,1,5
2004,담당자,2,1,1,1,5
2259,독촉,1,1,2,1,5
2262,집착,1,2,1,1,5
1888,역적,2,1,1,1,5
1973,구체화,2,1,1,1,5
2071,결코,2,1,1,1,5
2397,남북한,1,1,2,1,5
2385,정하나,1,2,1,1,5
2293,머그컵,1,1,2,1,5
2292,려고,1,1,2,1,5
1865,달이,2,1,1,1,5
1867,성격,2,1,1,1,5
2389,나비,1,2,1,1,5
2390,꼼짝,1,2,1,1,5
2464,대답,1,1,1,2,5
2060,군함,2,1,1,1,5
2320,어민,1,1,2,1,5
2046,과오,2,1,1,1,5
2222,운동선수,1,1,2,1,5
2210,대지,1,2,1,1,5
2362,활개,1,1,1,2,5
2428,투성이,1,1,1,2,5
1933,제인,2,1,1,1,5
2140,새끼,1,1,2,1,5
2372,조언,1,2,1,1,5
1926,취할,2,1,1,1,5
2458,최소한,1,2,1,1,5
2482,말라리아,1,2,1,1,5
2319,코미디,1,1,1,1,4
2408,요트,1,1,1,1,4
2150,의사결정,1,1,1,1,4
2404,공해,1,1,1,1,4
2209,이제야,1,1,1,1,4
2305,식구,1,1,1,1,4
2456,억지로,1,1,1,1,4
2435,리다,1,1,1,1,4
2156,애완견,1,1,1,1,4
2217,진의,1,1,1,1,4
2146,미련,1,1,1,1,4
2485,설움,1,1,1,1,4
