,단어명,정치 빈도수,경제 빈도수,사회빈도수,사설빈도수,총빈도수
187,위반,49,52,43,4,148
76,사퇴,86,32,23,7,148
123,보고,63,43,34,8,148
689,기준,15,99,28,5,147
429,개편,24,112,7,3,146
805,버스,12,49,79,6,146
682,수준,15,108,15,8,146
349,집중,30,94,17,5,146
1985,전기차,2,136,4,3,145
70,박원순,93,20,31,1,145
991,이사장,9,51,83,2,145
43,통일,118,6,14,6,144
593,주목,17,113,8,6,144
1034,인기,8,112,17,6,143
63,북핵,99,3,4,37,143
102,처리,70,53,16,4,143
74,폐기,89,15,6,33,143
1027,모델,9,106,22,5,142
212,폐지,45,57,30,10,142
438,이재용,24,81,36,1,142
1338,유통,5,128,7,2,142
153,통화,55,69,13,4,141
345,때문,30,69,32,10,141
1020,청구,9,22,105,5,141
59,미군,104,12,7,18,141
1929,주주,2,136,1,2,141
360,지방,29,79,25,7,140
132,철수,60,61,6,12,139
34,여야,130,4,2,3,139
1235,대형,6,105,24,4,139
929,확보,10,99,27,3,139
79,김기식,85,34,11,8,138
750,재단,13,71,53,1,138
1376,이야기,5,41,50,42,138
177,공식,51,68,16,2,137
2314,수첩,1,88,14,34,137
390,출범,26,96,13,1,136
1129,무죄,7,8,118,3,136
244,체제,40,84,4,8,136
307,활동,33,63,38,2,136
136,올림픽,59,34,28,15,136
231,모든,41,55,30,9,135
75,보도,88,9,33,5,135
1153,운용,7,125,2,1,135
1398,서울대,5,56,72,2,135
711,세금,14,64,23,34,135
105,인권,69,3,48,15,135
857,심사,11,60,62,2,135
288,전달,34,66,30,4,134
44,국방부,115,6,11,2,134
482,판결,21,20,89,4,134
200,주장,47,28,53,6,134
1259,살인,6,3,123,2,134
291,방안,34,89,7,3,133
954,도시,10,91,20,11,132
733,쇼크,14,106,10,2,132
313,공무원,33,36,51,12,132
726,주말,14,33,81,4,132
249,통해,38,70,18,6,132
699,추락,15,44,64,9,132
1874,적자,2,117,8,4,131
467,주의,22,62,34,13,131
53,군사,108,5,5,13,131
576,피해자,18,19,90,4,131
106,정권,69,13,20,29,131
1526,급증,4,109,16,2,131
292,다음,34,61,26,9,130
739,기록,13,69,43,5,130
1682,중소기업,3,121,2,3,129
64,외교,98,1,6,24,129
329,기념,31,61,34,3,129
