,단어명,정치1분기빈도수,정치2분기빈도수,정치3분기빈도수,정치4분기빈도수,총빈도수
325,발전,9,2,3,1,15
545,외면,5,5,4,1,15
369,대법원,8,2,2,3,15
1005,비용,1,5,5,4,15
532,종료,5,8,1,1,15
538,협조,5,4,3,3,15
583,가치,4,3,7,1,15
563,소통,5,2,5,3,15
690,서훈,3,4,6,1,14
814,자기,2,2,3,7,14
992,명예훼손,1,7,5,1,14
324,관람,9,1,3,1,14
306,판사,9,2,2,1,14
671,해소,3,2,7,2,14
666,유력,3,5,3,3,14
481,전면,6,3,3,2,14
676,구도,3,3,6,2,14
457,제시,6,3,3,2,14
954,해제,1,5,3,5,14
797,민주주의,2,5,3,4,14
378,신고,7,3,3,1,14
385,진술,7,5,1,1,14
906,여의도,1,4,3,6,14
737,깜짝,2,2,7,3,14
389,김태년,7,2,3,2,14
756,노동,2,4,5,3,14
443,대한,6,5,1,2,14
870,이름,1,7,3,3,14
784,정말,2,4,2,6,14
865,투쟁,1,9,3,1,14
438,일단,6,2,5,1,14
791,차기,2,5,3,4,14
421,공장,7,1,5,1,14
548,만남,5,5,3,1,14
512,전망,5,7,1,1,14
575,광역단체장,4,7,2,1,14
564,거취,5,5,3,1,14
530,방침,5,4,2,3,14
514,대치,5,6,2,1,14
526,내달,5,4,3,2,14
633,재단,4,4,4,2,14
560,신중,5,4,4,1,14
494,취업,6,1,6,1,14
517,설치,5,5,1,3,14
601,세상,4,5,4,1,14
502,공조,5,3,3,2,13
704,노조,3,3,2,5,13
444,항의,6,3,2,2,13
688,유엔,3,2,6,2,13
474,죄송,6,4,1,2,13
533,직무,5,5,2,1,13
961,공유,1,6,4,2,13
698,대립,3,5,3,2,13
569,안민석,4,2,3,4,13
406,계기,7,2,3,1,13
768,관심,2,1,6,4,13
471,조율,6,4,2,1,13
896,이견,1,3,4,5,13
445,조절,6,1,4,2,13
465,문화,6,2,1,4,13
710,민간,3,4,2,4,13
764,여권,2,5,4,2,13
340,구치소,8,3,1,1,13
501,상납,6,4,2,1,13
866,빈소,1,8,3,1,13
739,귀국,2,4,6,1,13
936,탄력,1,7,2,3,13
707,위로,3,4,4,2,13
658,주력,3,3,6,1,13
661,번영,3,5,4,1,13
558,성사,5,3,1,4,13
480,서울시,6,3,2,2,13
655,순방,3,1,1,8,13
427,정지,7,1,1,4,13
984,게임,1,2,6,4,13
672,세계,3,5,4,1,13
807,근로,2,3,4,4,13
584,원전,4,1,3,4,12
628,존중,4,5,2,1,12
662,동영상,3,3,3,3,12
659,시절,3,3,5,1,12
903,동맹,1,5,2,4,12
714,파일,3,7,1,1,12
871,완전,1,5,5,1,12
749,신설,2,2,6,2,12
934,위법,1,9,1,1,12
577,은퇴,4,5,2,1,12
914,페북,1,1,9,1,12
510,임박,5,1,4,2,12
653,조기,3,4,3,2,12
617,정무,4,4,3,1,12
609,철저,4,3,4,1,12
503,얘기,5,2,2,3,12
830,교류,2,4,4,2,12
616,내정,4,1,6,1,12
473,대처,6,1,3,2,12
639,자살,4,4,3,1,12
763,오른,2,5,4,1,12
682,기초,3,5,2,2,12
687,영상,3,4,2,3,12
893,애도,1,2,7,2,12
637,중심,4,5,1,2,12
329,즉각,8,2,1,1,12
595,자신,4,5,2,1,12
684,차원,3,5,3,1,12
402,공직,7,1,1,3,12
592,결론,4,6,1,1,12
892,사령관,1,5,5,1,12
668,방법,3,5,2,2,12
567,의견,4,1,4,3,12
834,허용,2,4,4,2,12
915,대권,1,5,3,2,11
400,대가,7,2,1,1,11
1011,건강,1,6,1,3,11
878,공사,1,3,2,5,11
610,시스템,4,1,3,3,11
646,수습,3,4,1,3,11
520,설명,5,2,2,2,11
611,김어준,4,3,2,2,11
742,공정,2,1,1,7,11
828,의회,2,4,2,3,11
524,권익위,5,2,2,2,11
581,기억,4,5,1,1,11
590,외부,4,5,1,1,11
652,동원,3,2,1,5,11
736,증가,2,2,2,5,11
757,고려,2,4,4,1,11
803,전문가,2,3,2,4,11
855,일침,2,2,2,5,11
498,류여해,6,1,1,3,11
593,정청래,4,4,1,2,11
669,안정,3,1,5,2,11
960,국토부,1,1,5,4,11
701,인식,3,4,2,2,11
986,연일,1,6,2,2,11
537,당시,5,2,3,1,11
802,정리,2,2,5,2,11
946,분야,1,2,3,5,11
734,안상수,2,4,2,3,11
713,작성,3,1,6,1,11
500,혼선,6,1,3,1,11
852,훼손,2,4,1,4,11
680,강경화,3,2,3,3,11
679,자격,3,3,2,3,11
792,신속,2,6,2,1,11
721,가나,3,4,3,1,11
459,시민단체,6,2,2,1,11
853,정우택,2,7,1,1,11
980,경제부총리,1,2,1,7,11
677,현직,3,4,1,3,11
620,곤란,4,3,1,3,11
789,사단,2,3,5,1,11
995,강제,1,1,4,5,11
630,상징,4,2,3,2,11
820,재난,2,3,4,1,10
774,정체,2,4,2,2,10
504,내주,5,2,2,1,10
596,무력,4,2,3,1,10
482,고개,6,1,1,2,10
860,방해,1,4,3,2,10
604,진짜,4,3,1,2,10
612,동참,4,1,2,3,10
546,일방,5,1,1,3,10
854,이산가족,2,2,5,1,10
790,제공,2,4,3,1,10
729,노총,3,1,3,3,10
874,혜원,1,1,1,7,10
622,최악,4,2,3,1,10
554,축하,5,2,2,1,10
648,의무,3,5,1,1,10
656,마치,3,3,3,1,10
990,특권,1,3,4,2,10
665,조만간,3,3,1,3,10
675,성범죄,3,1,2,4,10
975,세금,1,2,6,1,10
685,통제,3,3,3,1,10
693,하자,3,3,3,1,10
694,급등,3,1,4,2,10
881,원장,1,4,4,1,10
943,머리,1,3,4,2,10
937,당부,1,3,5,1,10
623,낙마,4,3,2,1,10
712,수락,3,2,4,1,10
621,엄중,4,3,1,2,10
447,얼굴,6,1,1,2,10
453,제왕,6,1,1,2,10
919,사의,1,5,3,1,10
918,실천,1,4,4,1,10
743,관건,2,4,3,1,10
615,일제,4,1,4,1,10
728,해당,3,4,1,2,10
831,정례,2,1,5,1,9
825,퇴장,2,4,1,2,9
542,비례대표,5,2,1,1,9
897,공방전,1,2,3,3,9
1000,환수,1,5,2,1,9
513,대국민,5,2,1,1,9
908,단계,1,1,5,2,9
856,제외,2,2,4,1,9
833,구축,2,4,1,2,9
985,부총리,1,1,2,5,9
580,무엇,4,1,2,2,9
965,목적,1,2,5,1,9
594,스스로,4,1,2,2,9
953,부담,1,2,5,1,9
