,단어명,정치1분기빈도수,정치2분기빈도수,정치3분기빈도수,정치4분기빈도수,총빈도수
810,도종환,2,1,1,3,7
804,실종,2,1,2,2,7
815,낭비,2,1,1,3,7
801,트랙,2,2,2,1,7
968,리더십,1,4,1,1,7
691,우린,3,2,1,1,7
837,광고,2,2,1,2,7
748,불평등,2,1,3,1,7
958,기금,1,2,2,2,7
861,화합,1,1,4,1,7
816,부실,2,1,2,2,7
876,집행,1,1,3,2,7
902,부당,1,1,4,1,7
755,질서,2,1,1,3,7
771,납득,2,1,3,1,7
859,참여연대,1,2,3,1,7
772,재건,2,3,1,1,7
877,릴레이,1,3,2,1,7
883,양극화,1,2,2,2,7
588,최후,4,1,1,1,7
868,사유,1,1,2,3,7
761,크게,2,3,1,1,7
773,라운드,2,2,1,2,7
777,지자체,2,2,2,1,7
890,발굴,1,2,3,1,7
754,망신,2,2,1,2,7
959,편성,1,2,1,2,6
766,찾기,2,1,2,1,6
963,특보,1,2,2,1,6
767,걱정,2,2,1,1,6
786,승진,2,2,1,1,6
781,움직임,2,2,1,1,6
966,태세,1,1,2,2,6
967,과연,1,1,2,2,6
972,회사,1,1,3,1,6
973,시점,1,3,1,1,6
800,저출산,2,2,1,1,6
977,조선,1,2,1,2,6
824,존재,2,1,1,2,6
863,결실,1,1,3,1,6
776,이익,2,1,1,2,6
1004,냉전,1,3,1,1,6
1003,다수,1,2,2,1,6
998,대감,1,1,3,1,6
997,시선,1,3,1,1,6
826,자처,2,1,1,2,6
832,단호,2,1,2,1,6
873,숙제,1,2,1,2,6
987,논문,1,1,2,2,6
827,육성,2,1,2,1,6
841,어린이집,2,1,2,1,6
808,실수,2,1,1,2,6
806,사임,2,2,1,1,6
955,기존,1,2,2,1,6
938,미소,1,2,1,2,6
900,표창원,1,2,2,1,6
922,사무소,1,1,3,1,6
845,대로,2,2,1,1,6
758,불허,2,1,2,1,6
935,번지,1,2,1,2,6
796,담당,2,1,1,2,6
917,인기,1,1,3,1,6
741,퇴진,2,2,1,1,6
753,아무,2,1,2,1,6
921,김상곤,1,1,2,2,6
894,악연,1,1,3,1,6
891,험로,1,2,2,1,6
709,답변,3,1,1,1,6
746,경험,2,1,2,1,6
909,아주,1,3,1,1,6
899,합리,1,1,2,2,6
926,돼지,1,2,1,1,5
951,부분,1,1,1,2,5
989,반격,1,1,1,2,5
888,명분,1,2,1,1,5
823,활용,2,1,1,1,5
993,후퇴,1,1,2,1,5
738,본질,2,1,1,1,5
901,그림자,1,2,1,1,5
849,취급,2,1,1,1,5
851,굴욕,2,1,1,1,5
1008,상대로,1,2,1,1,5
752,성격,2,1,1,1,5
732,사이버,2,1,1,1,5
751,출동,2,1,1,1,5
979,공백,1,2,1,1,5
857,김구,1,1,1,2,5
887,관광,1,1,2,1,5
889,유포,1,2,1,1,5
942,몰카,1,1,1,2,5
978,까닭,1,1,2,1,5
941,감소,1,1,2,1,5
940,최대한,1,1,2,1,5
862,전교조,1,2,1,1,5
962,초대,1,1,2,1,5
976,독대,1,1,2,1,5
970,출연,1,1,1,1,4
879,회고록,1,1,1,1,4
1014,계약,1,1,1,1,4
1013,동북아,1,1,1,1,4
1012,급증,1,1,1,1,4
931,적절,1,1,1,1,4
949,진위,1,1,1,1,4
1009,인연,1,1,1,1,4
886,편의,1,1,1,1,4
1007,편법,1,1,1,1,4
956,풀기,1,1,1,1,4
912,날개,1,1,1,1,4
875,포항,1,1,1,1,4
907,타격,1,1,1,1,4
1001,보전,1,1,1,1,4
869,위협,1,1,1,1,4
999,홍문표,1,1,1,1,4
898,음모,1,1,1,1,4
925,추측,1,1,1,1,4
974,기득권,1,1,1,1,4
939,제자리,1,1,1,1,4
923,금태섭,1,1,1,1,4
880,부위,1,1,1,1,4
920,이란,1,1,1,1,4
927,가중,1,1,1,1,4
