,단어명,세계빈도수,조선빈도수,한겨레빈도수,총빈도수
649,설치,14,30,14,58
639,만남,14,26,18,58
622,전면,14,28,16,58
502,지금,19,20,19,58
716,공사,11,34,13,58
422,연대,22,19,17,58
457,마음,21,19,18,58
610,비용,15,32,11,58
399,겨냥,23,25,10,58
421,강행,23,31,4,58
525,사망,18,19,20,57
361,부대,25,22,10,57
527,야권,18,25,14,57
473,변화,20,23,14,57
511,보고서,18,26,13,57
395,보좌,24,19,14,57
338,목소리,27,14,15,56
408,충돌,23,26,7,56
590,입법,16,17,23,56
695,교류,12,31,13,56
669,귀국,13,30,13,56
307,사태,30,14,11,55
364,관리,25,20,10,55
555,내용,17,30,8,55
394,거래,24,20,11,55
400,징계,23,17,15,55
462,역할,20,28,6,54
627,신고,14,32,8,54
430,운동,22,18,14,54
385,기회,24,18,12,54
330,막말,28,11,15,54
466,허위,20,22,12,54
485,현실,19,27,8,54
297,수사권,31,16,6,53
260,최저,33,15,5,53
479,공공기관,20,17,16,53
301,김무성,30,13,10,53
606,가동,15,23,15,53
684,동맹,12,38,3,53
557,등장,17,25,11,53
438,제기,21,23,9,53
621,유력,14,27,12,53
694,얘기,12,29,12,53
334,부정,28,17,7,52
528,공격,18,24,10,52
667,여권,13,28,11,52
662,조율,13,31,8,52
325,산업,28,17,7,52
495,이틀,19,24,9,52
475,심상정,20,10,22,52
365,인천,25,19,8,52
305,나경원,30,13,9,52
255,스캔들,33,17,2,52
611,종료,15,30,7,52
321,조정,29,16,7,52
531,거론,18,28,5,51
510,주년,18,28,5,51
793,단계,9,29,13,51
618,관람,14,21,16,51
489,공감,19,14,18,51
258,역대,33,13,5,51
348,주자,26,16,9,51
374,다른,25,18,8,51
352,착수,26,19,6,51
406,집권,23,18,10,51
427,도지사,22,22,7,51
594,경고,15,24,11,50
284,정청,31,14,5,50
282,회복,32,10,8,50
390,중요,24,20,6,50
358,친문,25,15,10,50
629,깜짝,14,25,11,50
363,시기,25,18,7,50
461,영향,20,19,10,49
369,좌파,25,16,8,49
379,연루,24,19,6,49
469,촛불,20,11,18,49
500,보장,19,17,13,49
651,공조,13,29,7,49
356,사법,25,7,17,49
711,의견,12,24,13,49
251,전두환,34,6,9,49
775,원장,10,20,19,49
519,아들,18,16,15,49
517,권한,18,16,14,48
680,원전,12,34,2,48
696,내정,12,22,14,48
601,선출,15,19,14,48
483,누가,20,11,17,48
246,청구,34,9,5,48
553,기준,17,15,16,48
547,자리,17,20,11,48
544,탁현민,17,23,8,48
484,여론,19,16,13,48
491,강남,19,19,10,48
446,심판,21,19,7,47
447,행보,21,12,14,47
558,의문,17,23,7,47
856,한국인,7,24,16,47
750,강제,11,26,10,47
480,반드시,20,16,11,47
805,악수,9,26,12,47
442,경쟁,21,15,11,47
550,대비,17,19,11,47
360,긍정,25,8,14,47
397,재정,23,16,8,47
423,변호사,22,14,11,47
501,불발,19,19,9,47
675,순방,13,21,12,46
453,참배,21,15,10,46
533,우선,18,15,13,46
362,감사원,25,11,10,46
444,어디,21,11,14,46
368,태극기,25,14,7,46
513,기획,18,17,11,46
382,연속,24,15,6,45
678,세계,13,23,9,45
828,작년,8,33,4,45
571,생중계,16,21,8,45
437,지속,21,12,12,45
498,의안,19,15,11,45
728,고려,11,20,14,45
407,고민,23,14,8,45
445,국무회의,21,16,8,45
317,반응,29,12,4,45
561,잘못,16,18,10,44
514,제한,18,16,10,44
969,위협,4,32,8,44
521,지적,18,16,10,44
589,부처,16,18,10,44
596,위장,15,17,12,44
474,황교안,20,12,12,44
415,과제,23,13,7,43
666,민간,13,18,12,43
574,전당대회,16,16,11,43
366,박정희,25,9,9,43
760,일방,10,25,8,43
652,노조,13,14,16,43
551,불가,17,18,8,43
599,언제,15,11,16,42
848,연결,8,23,11,42
624,제시,14,13,15,42
911,조선,6,29,7,42
516,비공개,18,18,6,42
359,신청,25,10,7,42
570,토론,16,22,4,42
441,주말,21,14,6,41
545,왜곡,17,13,11,41
568,강력,16,18,7,41
505,전격,18,11,11,40
661,관심,13,16,11,40
487,중진,19,12,9,40
418,잡기,23,16,1,40
396,운명,24,10,6,40
687,신설,12,17,11,40
524,인물,18,15,7,40
626,민주주의,14,17,9,40
673,성사,13,22,5,40
512,시도,18,18,4,40
840,명단,8,16,16,40
463,표명,20,17,3,40
562,종합,16,18,6,40
546,수준,17,15,8,40
660,계기,13,13,13,39
638,공장,14,17,8,39
653,항의,13,17,9,39
585,자료,16,18,5,39
440,정면,21,12,6,39
719,설명,11,17,11,39
323,상승,29,6,4,39
