,단어명,정치빈도수,경제빈도수,사회빈도수
659,증가,9,101,29
660,조치,9,4,26
661,은폐,9,2,19
662,검증,9,4,24
663,이명박,9,2,62
664,중대,9,1,3
665,제기,9,7,14
666,해군,9,1,10
667,양산,9,5,1
668,추석,9,24,30
669,세계,9,58,53
670,승부,9,7,8
671,부담,9,21,17
672,인민,9,1,1
673,거리,9,3,26
674,포괄,9,8,5
675,막판,9,1,7
676,목적,9,6,5
677,존재,9,2,4
678,포기,9,5,24
679,부위,9,3,6
680,이해,9,1,4
681,이견,9,2,2
682,이틀,9,10,30
683,체크,9,5,6
684,폭염,9,23,161
685,설득,9,6,4
686,소환,9,3,133
687,최선,9,4,2
688,혁명,9,3,13
689,선임,8,27,24
690,음주운전,8,1,30
691,자격,8,5,9
692,사상,8,46,28
693,현실,8,20,10
694,의무,8,17,29
695,위로,8,8,16
696,불가,8,8,6
697,반성,8,2,16
698,연일,8,2,2
699,환경,8,11,55
700,지도,8,8,6
701,비난,8,1,9
702,상실,8,1,11
703,뉴욕,8,3,1
704,수당,8,5,36
705,분위기,8,1,3
706,홀로,8,4,10
707,비상,8,11,41
708,지휘,8,3,27
709,원인,8,8,27
710,소장,8,2,6
711,경비,8,4,15
712,개정안,8,8,17
713,작전,8,2,8
714,지명,8,1,5
715,다른,8,20,31
716,재단,8,8,30
717,교통,8,3,30
718,정말,8,2,7
719,자녀,8,13,23
720,공장,8,46,61
721,해소,8,14,14
722,촉각,8,2,1
723,지뢰,8,1,2
724,아버지,8,2,27
725,동반,8,12,8
726,스스로,8,1,8
727,위협,8,4,14
728,사무,8,2,12
729,지정,8,12,28
730,침묵,8,5,10
731,재정,8,30,10
732,파행,8,1,10
733,건설,8,34,30
734,수습,8,2,7
735,신고,8,10,47
736,투입,8,11,20
737,가면,8,2,4
738,매체,8,1,6
739,기술,8,63,19
740,과태료,8,4,20
741,동북아,8,4,1
742,태풍,8,9,124
743,민족,8,1,7
744,대회,8,7,31
745,절반,8,19,27
746,개방,8,7,22
747,세금,8,27,11
748,내용,8,1,4
749,물밑,8,1,1
750,회복,8,25,20
751,추모,8,1,42
752,의전,8,1,1
753,열차,8,2,8
754,숙소,8,1,5
755,생중계,8,1,16
756,신호,8,4,5
757,토지,8,7,3
758,해법,8,7,10
759,수준,8,12,22
760,열병,8,1,1
761,홍보,8,6,17
762,순직,8,1,8
763,축하,8,2,11
764,중심,8,12,20
765,사의,8,10,5
766,전국,8,31,177
767,압축,8,4,6
768,책임자,8,3,14
769,인천,8,9,241
770,예비,8,4,23
771,노동자,8,21,168
772,기초,8,6,33
773,지난,8,4,6
774,분노,8,1,13
775,고민,8,17,16
776,해명,8,3,10
777,농성,8,2,50
778,여론조작,8,1,6
779,구조,8,8,33
780,청소년,8,7,54
781,열자,8,1,3
782,패럴림픽,8,1,9
783,방식,7,10,8
784,조직,7,5,26
785,파악,7,3,10
786,적용,7,17,25
787,존중,7,4,7
788,수정,7,2,3
789,인물,7,2,8
790,경북,7,2,69
791,충돌,7,6,28
792,태극기,7,1,10
793,조정,7,13,23
794,린다,7,13,31
795,차기,7,11,7
796,시기,7,4,3
797,의문,7,5,8
798,아동,7,5,35
799,선회,7,2,1
800,출산,7,1,10
801,복지,7,16,41
802,사임,7,9,4
803,당부,7,2,4
804,부정,7,13,29
805,폭행,7,2,125
806,뿌리,7,7,21
807,산업,7,88,23
808,이용,7,23,32
809,재벌,7,58,15
810,전원,7,9,23
811,차단,7,16,7
812,걸음,7,7,8
813,동참,7,4,6
814,붕괴,7,12,17
815,공조,7,6,2
816,이름,7,6,32
817,심판,7,2,17
818,부당,7,12,19
819,경력,7,5,9
820,규정,7,4,7
821,신청,7,31,82
822,이면,7,1,2
823,마무리,7,1,13
824,구입,7,4,3
825,문턱,7,6,2
826,라인,7,8,12
827,단속,7,7,24
828,택지,7,6,6
829,병사,7,1,6
830,성범죄,7,4,15
831,임대,7,46,10
832,박범계,7,1,1
833,끝내,7,2,12
834,배려,7,2,2
835,폭력,7,2,28
836,심야,7,2,5
837,대결,7,2,14
838,행동,7,3,12
839,수행,7,2,8
840,강력,7,3,16
841,유족,7,2,44
842,부활,7,5,12
843,한번,7,4,9
844,과제,7,10,11
845,현재,7,2,7
846,종료,7,4,6
847,무대,7,1,10
848,투기,7,13,3
849,온라인,7,14,8
850,부상,7,1,48
851,배치,7,3,9
852,인방,7,1,10
853,쿠데타,7,1,2
854,후원,7,4,4
855,게임,7,21,22
856,독립,7,2,22
857,정치자금,7,3,19
858,자문,7,4,3
859,과정,7,6,18
860,한겨레,7,2,92
861,동성,7,2,2
862,서한,7,2,4
863,입당,7,1,6
864,미세먼지,7,21,209
865,파란,7,2,1
866,조선,7,14,30
867,세기,7,2,3
868,무력,7,1,15
869,극적,7,1,3
870,성희롱,7,4,52
871,완성,7,4,10
872,셀프,7,1,18
873,화폐,7,34,17
874,심장,6,1,9
875,비행,6,9,5
876,협조,6,1,12
877,원칙,6,5,5
878,기지,6,2,11
879,방향,6,6,11
880,저녁,6,1,10
881,출국,6,3,6
882,인재,6,9,16
883,승인,6,9,8
884,투톱,6,1,1
885,노선,6,7,6
886,불만,6,5,7
887,금융,6,148,6
888,어린이집,6,2,57
889,명령,6,7,6
890,논쟁,6,4,4
891,수장,6,6,5
892,정기,6,4,7
893,체결,6,9,1
894,절차,6,6,21
895,외국,6,7,6
896,연속,6,30,10
897,분석,6,18,12
898,쟁점,6,4,12
899,충격,6,8,6
900,위원회,6,7,21
901,인공,6,36,8
902,연루,6,3,8
903,종합,6,12,8
904,근절,6,5,7
905,서울시,6,7,74
906,당일,6,1,11
907,관광,6,7,12
908,법적,6,3,13
909,보완,6,7,4
910,차원,6,2,4
911,위장전입,6,3,1
912,삭제,6,5,12
913,업체,6,60,62
914,근로시간,6,3,3
915,대폭,6,14,4
916,고양이,6,1,10
917,타결,6,7,3
918,활성화,6,11,8
919,시사,6,4,3
920,통제,6,3,17
921,공직,6,1,2
922,착수,6,20,45
923,이사장,6,8,42
924,방탄소년단,6,3,5
925,꼼수,6,6,21
926,기부,6,10,17
927,해제,6,4,15
928,눈길,6,4,13
929,엄중,6,2,5
930,물어,6,2,5
931,문화,6,6,50
932,합류,6,2,1
933,주인,6,7,10
934,부자,6,11,7
935,전력,6,21,3
936,선박,6,4,11
937,대가,6,4,19
938,연동,6,2,3
939,신규,6,26,5
940,기여,6,3,4
941,강원,6,1,52
942,포스코,6,68,7
943,서명,6,2,14
944,블랙리스트,6,1,27
945,석방,6,2,28
946,일괄,6,2,2
947,산책,6,1,2
948,바로,6,4,15
949,밀착,6,1,3
950,그림,6,1,19
951,종부세,6,26,2
952,특별법,6,2,10
953,공급,6,37,9
954,활용,6,19,18
955,구상,6,2,3
956,면제,6,15,3
957,지구,6,7,23
958,예방,6,4,17
959,거짓,6,2,11
960,돌풍,6,4,4
961,능력,6,7,6
962,운명,6,9,15
963,주류,6,2,2
964,도움,6,5,7
965,대안,6,6,17
966,생명,6,18,14
967,총력,6,3,4
968,패싱,6,1,4
969,주기,6,7,34
970,반입,6,5,9
971,전체,6,4,4
972,비공개,6,2,22
973,조종사,6,4,4
974,중요,6,7,8
975,파문,6,4,19
976,충남,6,2,27
977,여부,6,12,28
978,창원,6,5,21
979,자산,6,21,5
980,철저,6,2,1
981,조기,6,12,5
982,헌신,6,1,1
983,가시,6,4,6
984,촬영,6,1,67
985,전화,6,5,16
986,거듭,6,2,10
987,역할,6,8,6
988,영화,6,8,27
989,출근,6,4,21
990,협약,6,12,15
991,실시,6,5,12
992,통상,6,11,3
993,통해,6,7,9
994,외압,6,4,14
995,출동,6,1,11
996,범위,6,3,20
997,전세계,6,7,3
998,맥스,6,1,1
999,부결,6,2,2
1000,새벽,6,3,22
1001,금감원,6,57,3
1002,만날,6,2,2
1003,정면,6,2,6
1004,선수단,6,2,3
1005,보상,5,10,12
1006,한강,5,1,28
1007,매우,5,3,3
1008,정체,5,3,24
1009,국외,5,3,9
1010,주식,5,53,6
1011,유튜브,5,8,10
1012,기구,5,6,14
1013,완료,5,6,4
1014,신호탄,5,6,6
1015,용국,5,1,2
1016,운전,5,6,20
1017,공모,5,7,20
1018,법무,5,3,10
1019,청문회,5,4,9
1020,무단,5,4,7
1021,이하,5,6,11
1022,징역,5,1,150
1023,사연,5,2,9
1024,폭풍,5,4,7
1025,주요,5,5,6
1026,부적절,5,3,4
1027,거취,5,3,1
1028,조성,5,17,27
1029,진짜,5,10,14
1030,사이,5,4,9
1031,초점,5,1,3
1032,시정,5,2,10
1033,방지법,5,2,3
1034,저지,5,1,4
1035,살인,5,3,67
1036,구멍,5,2,11
1037,청구,5,4,82
1038,아침,5,1,53
1039,의사,5,4,33
1040,잠정,5,9,11
1041,부모,5,5,22
1042,접수,5,9,7
1043,혼란,5,3,11
1044,발견,5,11,97
1045,산림,5,4,3
1046,기록,5,13,48
1047,성문,5,2,1
1048,특례,5,1,7
1049,독도,5,1,13
1050,유럽,5,24,6
1051,퇴직,5,12,22
1052,블록,5,35,2
1053,체인,5,37,1
1054,현직,5,3,44
1055,시스템,5,15,11
1056,마크,5,2,1
1057,적발,5,18,43
1058,구체,5,1,1
1059,누리꾼,5,1,13
1060,장비,5,6,7
1061,집중,5,13,20
1062,용산,5,3,13
1063,잔치,5,4,6
1064,다음주,5,1,8
1065,토론회,5,1,13
1066,서민,5,6,4
1067,되풀이,5,4,2
1068,동네,5,7,13
1069,방어,5,4,13
1070,정무,5,1,10
1071,자료,5,5,27
1072,시각,5,2,5
1073,오거돈,5,1,18
1074,정리,5,2,5
1075,개별,5,3,2
1076,표정,5,4,8
1077,연휴,5,12,37
1078,이정표,5,1,1
1079,조문,5,1,6
1080,결혼,5,4,18
1081,맞이,5,3,10
1082,유치,5,6,6
1083,육성,5,7,3
1084,로드맵,5,1,4
1085,순간,5,1,28
1086,기습,5,1,10
1087,주년,5,11,20
1088,거절,5,1,8
1089,초대,5,3,4
1090,아파트,5,77,78
1091,참여정부,5,4,1
1092,찾기,5,3,10
1093,동해,5,5,11
1094,자기,5,2,9
1095,대학,5,5,94
1096,수립,5,2,7
1097,관료,5,5,2
1098,역대,5,26,26
1099,동원,5,6,24
1100,계약,5,24,14
1101,유공,5,1,4
1102,확약,5,2,1
1103,전역,5,2,10
1104,뒷받침,5,2,3
1105,보이,5,2,1
1106,반격,5,1,5
1107,평등,5,2,8
1108,소상,5,12,5
1109,공인,5,23,9
1110,남성,5,8,73
1111,페북,5,14,5
1112,행정,5,4,102
1113,증액,5,6,1
1114,법정,5,5,35
1115,최저,5,29,25
1116,일제,5,5,19
1117,환노위,5,2,2
1118,문구,5,3,1
1119,시절,5,2,9
1120,첫걸음,5,1,3
1121,복구,5,4,5
1122,절대,5,4,5
1123,출사표,5,2,6
1124,재난,5,5,15
1125,일상,5,2,13
1126,시행,5,19,34
1127,파일,5,2,18
1128,박상기,5,2,8
1129,공원,5,4,75
1130,죽음,5,1,36
1131,파전,5,1,12
1132,별세,5,1,49
1133,아빠,5,1,45
1134,선포,5,1,4
1135,답변,5,1,9
1136,이례,5,2,4
1137,상호,5,2,1
1138,중순,5,2,2
1139,노동시간,5,4,10
1140,나흘,5,4,7
1141,재고,5,1,2
1142,분담,5,4,6
1143,용기,5,1,10
1144,무시,5,3,8
1145,거론,5,1,4
1146,직후,5,2,2
1147,기고,5,2,2
1148,분산,5,1,3
1149,임기,5,4,10
1150,캠프,5,3,16
1151,실시간,5,2,4
1152,연구소,5,7,7
1153,워싱턴,5,3,1
1154,접근,5,2,15
1155,폭발,5,6,19
1156,관행,5,2,8
1157,유성,5,2,5
1158,명품,5,4,8
1159,여자,5,4,33
1160,사이버,5,1,14
1161,보이콧,4,2,4
1162,회귀,4,1,1
1163,질타,4,1,4
1164,근로,4,12,25
1165,특정,4,3,8
1166,강행,4,5,12
1167,공정,4,15,10
1168,최후,4,2,6
1169,송도,4,2,17
1170,국민연금,4,29,46
1171,개시,4,11,9
1172,한글,4,3,3
1173,집회,4,4,60
1174,세트,4,1,6
1175,앞서,4,4,3
1176,이란,4,9,5
1177,예외,4,4,3
1178,일단,4,3,5
1179,침해,4,7,41
1180,일침,4,1,2
1181,의료,4,7,41
1182,호기,4,14,6
1183,가닥,4,3,6
1184,반응,4,2,6
1185,해상,4,4,12
1186,전수,4,3,18
1187,참관,4,1,1
1188,이슈,4,3,4
1189,진입,4,6,4
1190,작년,4,31,10
1191,부패,4,1,6
1192,부터,4,5,9
1193,분야,4,13,2
1194,상승,4,33,13
1195,공포,4,8,9
1196,대체,4,10,10
1197,이미지,4,2,1
1198,예상,4,11,13
1199,영어,4,1,21
1200,보조금,4,3,10
1201,지자체,4,7,15
1202,기소,4,2,84
1203,극복,4,2,7
1204,수수료,4,19,4
1205,소송,4,14,74
1206,국제사회,4,1,1
1207,띄우기,4,1,1
1208,개인,4,23,12
1209,라오스,4,7,2
