,단어명,정치빈도수,경제빈도수,사회빈도수
2333,입사,1,5,2
2334,작업,1,7,33
2335,팔고,1,2,4
2336,향수,1,1,1
2337,재미,1,4,3
2338,화장,1,1,6
2339,점화,1,3,9
2340,더위,1,1,48
2341,풍기,1,1,1
2342,수영장,1,1,5
2343,만원,1,4,9
2344,성지,1,1,4
2345,안종범,1,2,11
2346,맥주,1,11,1
2347,가입자,1,12,5
2348,축산,1,2,1
2349,장려,1,5,3
2350,고개,1,4,4
2351,제각각,1,3,3
2352,불공정,1,12,3
2353,번호,1,4,6
2354,유실,1,1,1
2355,식품,1,8,8
2356,조립,1,1,2
2357,항목,1,1,2
2358,밀당,1,1,1
2359,매뉴얼,1,2,2
2360,패닉,1,4,1
2361,출연,1,3,4
2362,유사,1,2,4
2363,우승,1,3,1
2364,불통,1,1,3
2365,과학자,1,1,2
2366,좇다,1,1,1
2367,오염,1,1,13
2368,짜증,1,1,2
2369,보름,1,1,3
2370,장애,1,10,33
2371,중고,1,4,3
2372,박스,1,3,1
2373,고장,1,2,9
2374,제정,1,1,12
2375,급락,1,12,1
2376,운반,1,2,1
2377,불량,1,3,4
2378,관세,1,46,4
2379,나비효과,1,2,1
2380,프랜차이즈,1,4,4
2381,본사,1,15,29
2382,원조,1,2,4
2383,클릭,1,8,4
2384,영광,1,1,4
2385,배정,1,4,2
2386,품목,1,6,3
2387,재발,1,1,7
2388,해지,1,6,4
2389,요인,1,4,1
2390,감정,1,5,10
2391,혜화역,1,1,11
2392,기존,1,11,1
2393,시인,1,2,20
2394,성적표,1,1,2
2395,화장품,1,9,2
2396,주인공,1,6,6
2397,강도,1,3,22
2398,뒷전,1,2,4
2399,맞벌이,1,3,4
2400,육아휴직,1,1,10
2401,아산,1,3,4
2402,공부,1,5,18
2403,개보,1,1,1
2404,해결사,1,1,3
2405,마감,1,2,3
2406,리스트,1,1,4
2407,용돈,1,1,2
2408,행복,1,8,14
2409,가이드라인,1,3,2
2410,악화,1,10,13
2411,요금,1,25,12
2412,원가,1,5,4
2413,개편안,1,9,7
2414,시험대,1,2,3
2415,전무,1,8,10
2416,구조조정,1,17,5
2417,신축,1,1,6
2418,불신,1,1,5
2419,평택,1,4,16
2420,시한,1,3,1
2421,상금,1,3,2
2422,에코,1,2,3
2423,단위,1,2,1
2424,흡수,1,4,1
2425,사인,1,2,6
2426,과실,1,4,4
2427,상생,1,28,4
2428,등급,1,6,2
2429,총재,1,11,2
2430,그냥,1,2,3
2431,점점,1,2,6
2432,자의,1,2,2
2433,향년,1,1,3
2434,시베리아,1,1,2
2435,작일,1,2,2
2436,멕시코,1,3,2
2437,메모,1,1,5
2438,인문학,1,1,6
2439,내내,1,1,5
2440,비율,1,12,9
2441,껑충,1,7,2
2442,나무,1,4,14
2443,현황,1,1,2
2444,와중,1,1,2
2445,짬짜미,1,9,1
2446,관장,1,1,1
2447,금물,1,2,1
2448,집단소송,1,9,4
2449,바닥,1,1,5
2450,제조,1,1,8
2451,약진,1,1,1
2452,흐름,1,2,1
2453,구형,1,1,54
2454,언론사,1,7,10
2455,당분간,1,1,2
2456,철통,1,1,1
2457,보안,1,10,11
2458,선의,1,1,2
2459,윤곽,1,4,2
2460,서면,1,1,4
2461,공략,1,5,2
2462,셀카,1,1,1
2463,스마트폰,1,67,8
2464,첩보,1,1,1
2465,미디어,1,5,13
2466,침수,1,1,14
2467,기계,1,8,12
2468,손상,1,1,2
2469,대하,1,1,3
2470,매달,1,5,6
2471,전액,1,1,5
2472,시험,1,4,39
2473,나은,1,1,3
2474,워킹맘,1,1,1
2475,민감,1,2,2
2476,무조건,1,2,7
2477,플라스틱,1,1,13
2478,응시,1,2,4
2479,라돈,1,11,25
2480,수거,1,3,13
2481,일터,1,1,8
2482,정혁,1,4,1
2483,게시,1,1,5
2484,보물,1,1,6
2485,지하,1,2,8
2486,증권,1,43,3
2487,벌이,1,1,2
2488,편집국,1,2,5
2489,한판,1,1,1
2490,후끈,1,4,5
2491,악플,1,1,4
2492,스펙,1,1,1
2493,지배,1,11,4
2494,살길,1,3,1
2495,지표,1,9,4
2496,출퇴근,1,3,6
2497,패러다임,1,4,2
2498,산이,1,1,2
2499,뚜렷,1,1,1
2500,음성,1,8,26
2501,아웃,1,4,8
2502,비즈니스,1,5,2
2503,튀김,1,2,1
2504,대진,1,5,3
2505,방사선,1,3,6
2506,원료,1,3,2
2507,대한제국,1,1,1
2508,사관,1,2,14
2509,차질,1,3,8
2510,중학생,1,3,12
2511,구본무,1,6,2
2512,남녀,1,4,10
2513,구별,1,1,1
2514,부문,1,10,4
2515,인권위,1,1,72
2516,사지,1,1,3
2517,정위,1,1,3
2518,유의,1,2,2
2519,뒤통수,1,1,1
2520,실리콘밸리,1,1,1
2521,과학,1,3,4
2522,농업,1,1,8
2523,방관,1,1,1
2524,탈세,1,6,9
2525,무한,1,4,5
2526,수상,1,9,17
2527,코스,1,1,4
2528,소셜,1,4,1
2529,펀드,1,22,3
2530,유급,1,1,3
2531,콸콸,1,1,2
2532,계산,1,1,7
2533,정밀,1,2,2
2534,전말,1,2,3
2535,행진,1,11,12
2536,선처,1,1,5
2537,공론장,1,2,3
2538,자체,1,6,13
2539,케이크,1,1,5
2540,신의주,1,1,1
2541,지형,1,1,2
2542,달걀,1,2,4
2543,통감,1,1,1
2544,한진,1,14,25
2545,이명희,1,6,26
2546,엿새,1,2,1
2547,명분,1,1,5
2548,어린이날,1,1,3
2549,대박,1,3,3
2550,초콜릿,1,1,1
2551,유명,1,2,14
2552,커뮤니티,1,1,3
2553,렌터카,1,4,9
2554,즉시,1,13,4
2555,부서,1,3,5
2556,대담,1,1,1
2557,벌써,1,5,9
2558,건너,1,1,2
2559,양상,1,1,6
2560,환상,1,1,1
2561,셔틀,1,1,4
2562,고무줄,1,1,2
2563,선언문,1,2,4
2564,주역,1,1,1
2565,인명,1,2,19
2566,전송,1,3,2
2567,이건,1,1,3
2568,비혼,1,2,1
2569,주방,1,1,1
2570,신혼부부,1,8,1
2571,포털,1,6,2
2572,위성,1,2,1
2573,창의,1,1,4
2574,남편,1,4,30
2575,디지털,1,14,12
2576,몽골,1,1,2
2577,홍수,1,2,2
2578,이오,1,1,2
2579,자꾸,1,1,3
2580,유발,1,1,8
2581,광풍,1,4,2
2582,제동,1,11,13
2583,당혹,1,1,3
2584,카페,1,2,9
2585,회원,1,3,12
2586,조현민,1,22,15
2587,경영,1,65,18
2588,퇴진,1,4,15
2589,대림,1,8,5
2590,출처,1,1,2
2591,블루,1,1,2
2592,습자,1,2,1
2593,사유,1,2,14
2594,차라리,1,1,3
2595,대타협,1,3,1
2596,대의,1,2,2
2597,참여연대,1,13,9
2598,마트,1,16,8
2599,종이,1,2,5
2600,영업비밀,1,1,5
2601,금융감독원장,1,1,1
2602,국내선,1,4,1
2603,노무,1,4,1
2604,노트북,1,3,2
2605,공모전,1,6,5
2606,아내,1,2,28
2607,도나,1,1,5
2608,데드라인,1,1,1
2609,바보,1,1,2
2610,다섯,1,4,4
2611,톡방,1,1,3
2612,수색,1,1,22
2613,전선,1,1,1
2614,흥남,1,1,1
2615,보루,1,2,2
2616,인건비,1,5,6
2617,독려,1,1,4
2618,퇴근,1,7,8
2619,가점,1,2,2
2620,판도,1,1,1
2621,자격증,1,1,2
2622,무상,1,11,19
2623,연회,1,1,1
2624,흥행,1,2,4
2625,재활용,1,2,9
2626,재직,1,4,1
2627,김상균,1,1,2
2628,도쿄,1,2,3
2629,소재,1,3,4
2630,코인,1,8,5
2631,금호,1,38,5
2632,타이어,1,39,7
2633,신기록,1,5,2
2634,여러,1,1,2
2635,태양,1,1,3
2636,동향,1,9,6
2637,법제처,1,1,2
2638,블랙,1,1,4
2639,하우스,1,2,5
2640,오류,1,8,1
2641,달러,1,14,1
2642,제작,1,5,12
2643,파트너,1,4,1
2644,나이,1,3,8
2645,녹색,1,1,6
2646,프로젝트,1,5,7
2647,입가,1,1,3
2648,캐나다,1,4,1
2649,항쟁,1,1,8
2650,간접,1,3,3
2651,반란,1,3,3
2652,주로,1,1,1
2653,포스코건설,1,5,5
2654,사옥,1,3,4
2655,아이돌,1,1,7
2656,만장일치,1,2,2
2657,필리핀,1,3,5
2658,외면,1,5,10
2659,카카오,1,61,2
2660,유료,1,7,1
2661,지체,1,1,2
2662,합격자,1,3,2
2663,총괄,1,7,6
2664,봄맞이,1,3,2
2665,선정,1,26,18
2666,상속,1,2,1
2667,난제,1,2,1
2668,벌집,1,2,2
2669,이사회,1,10,12
2670,자신감,1,1,2
2671,숫자,1,1,2
2672,가습기,1,5,10
2673,권유,1,1,3
2674,해수부,1,2,5
2675,독점,1,2,5
2676,초래,1,1,1
2677,개항,1,2,4
2678,앵커,1,1,6
2679,도주,1,2,10
2680,구심,1,1,1
2681,소수자,1,1,3
2682,우대,1,3,1
2683,가게,1,2,4
2684,보기,1,3,11
2685,관건,1,4,2
2686,고급,1,3,1
2687,정안,1,1,11
2688,잡기,1,1,1
2689,저격수,1,1,1
2690,편파,1,1,8
2691,억대,1,3,13
2692,정성,1,1,6
2693,대리,1,3,7
2694,발전소,1,11,7
2695,고심,1,4,6
2696,통장,1,2,4
2697,신도시,1,4,6
2698,주변,1,2,16
2699,지붕,1,3,7
2700,국가대표,1,4,2
2701,본선,1,1,2
2702,다산,1,1,6
2703,수면,1,2,2
2704,통로,1,1,4
2705,박탈,1,3,6
2706,허물,1,1,5
2707,명문,1,2,2
2708,성매매,1,1,21
2709,대표팀,1,1,3
2710,제천,1,1,37
2711,가드,1,12,1
2712,웹툰,1,4,7
2713,별개,1,2,1
2714,트랙,1,2,5
2715,자매,1,1,7
2716,수렴,1,2,4
2717,의회,1,1,63
2718,유주,1,1,6
2719,현상,1,6,2
2720,명절,1,2,10
2721,기금,1,14,17
2722,불법행위,1,2,2
2723,열전,1,1,1
2724,디딤돌,1,5,1
2725,고등,1,1,2
2726,모색,1,1,3
2727,유류,1,14,1
2728,법도,1,1,4
2729,색깔,1,1,2
2730,곧바로,1,1,2
2731,당황,1,1,2
2732,파장,1,2,4
2733,커넥션,1,2,3
2734,재량,1,1,3
2735,대기,1,1,13
2736,인지,1,1,2
2737,느낌,1,1,1
2738,정경,1,1,3
2739,중형,1,1,13
2740,생기,1,1,2
2741,이득,1,1,1
2742,보급,1,5,4
2743,자율,1,32,5
2744,행차,1,7,1
2745,낙마,1,2,2
2746,수년,1,1,4
2747,한화,1,29,7
2748,이벤트,1,2,2
2749,국민은행,1,6,5
2750,무마,1,1,13
2751,스키,1,2,2
2752,출생,1,7,1
2753,침체,1,3,1
2754,위축,1,2,1
2755,사항,1,1,1
2756,부과,1,19,5
2757,수술,1,1,17
2758,안방,1,2,4
2759,역습,1,1,3
2760,합격,1,3,9
2761,질식사,1,1,3
2762,무더기,1,9,18
2763,취약,1,8,11
2764,화재현장,1,1,1
2765,상태,1,5,8
2766,양호,1,1,5
2767,연맹,1,1,4
2768,여객선,1,2,11
2769,소형,1,3,2
2770,게이트,1,2,3
2771,양성,1,2,10
2772,시티,1,18,13
2773,딱지,1,1,2
2774,테니스,1,1,1
2775,항소,1,1,16
2776,장기,1,12,18
2777,아트,1,1,4
2778,중고생,1,1,5
2779,만들기,1,2,11
2780,자전거,1,4,31
2781,마스크,1,1,21
2782,서비스업,1,7,2
2783,이상은,1,2,8
2784,신발,1,1,1
2785,대표자,1,1,5
2786,기시감,1,1,1
2787,둔갑,1,2,5
2788,친환경,1,9,12
2789,마이너스,1,5,2
2790,철호,1,1,3
2791,공정위,1,59,23
2792,편의점,1,23,12
2793,티켓,1,2,2
2794,저축,1,4,2
2795,탱크,1,1,6
2796,처남,1,1,3
2797,은닉,1,1,2
2798,엘리베이터,1,3,2
2799,박능후,1,1,3
2800,처분,1,4,24
2801,화두,1,2,4
2802,경청,1,1,2
2803,상반기,1,25,3
2804,금고,1,4,2
2805,비트코인,1,13,5
2806,청렴,1,1,2
2807,수급,1,10,6
2808,공고,1,3,2
2809,수호,1,3,6
2810,코드,1,6,4
2811,비교,1,9,35
2812,무성,1,1,1
2813,독자,1,4,13
2814,산불,1,1,26
2815,단절,1,2,1
2816,문단,1,1,3
2817,북새통,1,1,1
2818,막바지,1,1,1
2819,추징,1,3,6
2820,절박,1,1,2
2821,처가,1,2,2
2822,페어,1,1,1
2823,다소,1,1,1
2824,무용지물,1,4,3
2825,덩어리,1,1,1
2826,분당,1,2,3
2827,살이,1,3,9
2828,건립,1,1,15
2829,현충원,1,1,2
2830,필요성,1,1,3
2831,억제,1,2,3
2832,지평,1,1,1
