,단어명,정치 빈도수
1169,탄력,11
1170,근로,11
1171,꼼수,11
1172,소송,11
1173,삭감,11
1174,활성화,11
1175,의도,11
1176,단속,11
1177,머리,11
1178,해킹,11
1179,합참의장,11
1180,설문,11
1181,인적,11
1182,접근,11
1183,영상,11
1184,심사,11
1185,음주운전,11
1186,시행,11
1187,강도,11
1188,연평도,11
1189,불허,11
1190,원산,11
1191,국제사회,11
1192,일대,11
1193,적발,11
1194,광화문,11
1195,막말,11
1196,촛불,11
1197,위로,11
1198,반복,11
1199,까닭,11
1200,제도,11
1201,기소,11
1202,비무장,11
1203,교수,11
1204,연습,11
1205,자격,11
1206,열차,11
1207,패싱,11
1208,경비,11
1209,감사원,11
1210,다운,11
1211,지층,11
1212,자세,11
1213,전력,11
1214,서한,11
1215,축전,11
1216,뇌물,11
1217,전해철,11
1218,체크,11
1219,마을,11
1220,분야,11
1221,등록,11
1222,경력,11
1223,배석,11
1224,생산,11
1225,집회,11
1226,지정,11
1227,어디,11
1228,미국인,11
1229,장사,11
1230,건국,11
1231,발목,11
1232,오른,11
1233,진상,11
1234,상대,11
1235,투쟁,11
1236,언제,11
1237,더니,11
1238,일괄,11
1239,이견,11
1240,외신,11
1241,거짓말,11
1242,부부,11
1243,가슴,11
1244,터키,11
1245,재건축,11
1246,대결,11
1247,도성,11
1248,성희롱,11
1249,중심,11
1250,현안,11
1251,독재,11
1252,지구,11
1253,범죄,11
1254,조종사,11
1255,부산시,11
1256,파문,11
1257,가나,11
1258,경의선,11
1259,통째,11
1260,과정,11
1261,농구,11
1262,누가,11
1263,오거돈,11
1264,육로,11
1265,번영,11
1266,카펠라,11
1267,정봉주,11
1268,욕설,11
1269,외유,11
1270,일제,10
1271,기금,10
1272,개설,10
1273,경제부총리,10
1274,연금,10
1275,결심,10
1276,상태,10
1277,신형,10
1278,심상정,10
1279,공원,10
1280,친구,10
1281,종교,10
1282,환수,10
1283,현역,10
1284,인자,10
1285,줄줄이,10
1286,복심,10
1287,전북,10
1288,사격,10
1289,응답,10
1290,침범,10
1291,부분,10
1292,출석,10
1293,지급,10
1294,태풍,10
1295,신청,10
1296,눈치,10
1297,실험,10
1298,천안,10
1299,여명,10
1300,채용,10
1301,수습,10
1302,임박,10
1303,적용,10
1304,확보,10
1305,통제,10
1306,구축,10
1307,빅터,10
1308,출입,10
1309,의무,10
1310,동반,10
1311,입당,10
1312,인력,10
1313,공직,10
1314,애도,10
1315,표결,10
1316,예의,10
1317,팩트,10
1318,독자,10
1319,질의,10
1320,종부세,10
1321,이례,10
1322,서로,10
1323,선희,10
1324,지명,10
1325,현직,10
1326,전단,10
1327,심야,10
1328,탄압,10
1329,반박,10
1330,포인트,10
1331,완성,10
1332,조속,10
1333,원인,10
1334,산책,10
1335,식당,10
1336,운명,10
1337,최룡해,10
1338,영접,10
1339,은산,10
1340,정치자금,10
1341,초선,10
1342,양제츠,10
1343,서열,10
1344,죽음,10
1345,해성,10
1346,외무성,10
1347,세대,10
1348,도시,10
1349,회복,10
1350,후원,10
1351,개념,10
1352,결식,10
1353,대강,10
1354,게임,10
1355,최재성,10
1356,북중,10
1357,빈소,10
1358,총영사,10
1359,정계,10
1360,사례,10
1361,기초단체장,10
1362,광주시,10
1363,최문순,10
1364,이용섭,10
1365,유권자,10
1366,여배우,10
1367,일행,10
1368,벽보,10
1369,노래,10
1370,맥스,10
1371,선더,10
1372,대접,10
1373,새해,10
1374,수정,9
1375,엄중,9
1376,정체,9
1377,이용,9
1378,리더십,9
1379,타격,9
1380,예산안,9
1381,코드,9
1382,순직,9
1383,휴대폰,9
1384,민간인,9
1385,하원,9
1386,장악,9
1387,정황,9
1388,사죄,9
1389,전대,9
1390,비서실,9
1391,경기도,9
1392,왕래,9
1393,독주,9
1394,수입,9
1395,정도,9
1396,안정,9
1397,진화,9
1398,투입,9
1399,당부,9
1400,관계자,9
1401,주둔,9
1402,대법원,9
1403,한마디,9
1404,생활,9
1405,농단,9
1406,전화통화,9
1407,이탈,9
1408,개인,9
1409,사자,9
1410,시스템,9
1411,조기,9
1412,비어,9
1413,해당,9
1414,수여,9
1415,이사장,9
1416,무시,9
1417,오세훈,9
1418,함정,9
1419,사령부,9
1420,지뢰,9
1421,난민,9
1422,병사,9
1423,유시민,9
1424,자단,9
1425,훈장,9
1426,방향,9
1427,확산,9
1428,구멍,9
1429,강정,9
1430,항모,9
1431,본부,9
1432,사임,9
1433,전기,9
1434,곳곳,9
1435,체결,9
1436,장비,9
1437,위법,9
1438,저녁,9
1439,테이블,9
1440,전원,9
1441,건물,9
1442,다리,9
1443,두번째,9
1444,비행기,9
1445,아파트,9
1446,자진,9
1447,도종환,9
1448,재난,9
1449,수령,9
1450,박정희,9
1451,자영,9
1452,가면,9
1453,지진,9
1454,승부,9
1455,명시,9
1456,집결,9
1457,이하,9
1458,결렬,9
1459,인방,9
1460,국정원장,9
1461,지지자,9
1462,마주,9
1463,이명박,9
1464,법원,9
1465,청구,9
1466,본부장,9
1467,반성,9
1468,전체,9
1469,입항,9
1470,부실,9
1471,피감,9
1472,논쟁,9
1473,가지,9
1474,모델,9
1475,자신,9
1476,성김,9
1477,김종필,9
1478,오사카,9
1479,지방의회,9
1480,송하진,9
1481,텃밭,9
1482,제천,9
1483,노원,9
1484,미니,9
1485,폭탄,9
1486,옥중,9
1487,국민투표법,9
1488,마식령스키장,9
1489,유튜브,8
1490,소위,8
1491,인기,8
1492,싱크탱크,8
1493,기구,8
1494,동결,8
1495,하와이,8
1496,폭로,8
1497,약화,8
1498,전투,8
1499,사법부,8
1500,포항,8
1501,일단,8
1502,기밀,8
1503,조현,8
1504,대규모,8
1505,인공,8
1506,스스로,8
1507,수립,8
1508,남방,8
1509,상품,8
1510,원유,8
1511,윤리,8
1512,원사,8
1513,사상,8
1514,표정,8
1515,수순,8
1516,과속,8
1517,위원회,8
1518,참관,8
1519,지연,8
1520,존중,8
1521,정치인,8
1522,대부분,8
1523,임무,8
1524,잠수함,8
1525,통계청장,8
1526,장사정포,8
1527,역량,8
1528,이재,8
1529,관광객,8
1530,권익위,8
1531,발견,8
1532,철강,8
1533,방치,8
1534,예상,8
1535,해석,8
1536,헌법재판관,8
1537,심각,8
1538,이메일,8
1539,목적,8
1540,개막,8
1541,치유,8
1542,제대로,8
1543,프랑스,8
1544,대법관,8
1545,방침,8
1546,특혜,8
1547,취업,8
1548,보직,8
1549,박한기,8
1550,보훈처,8
1551,사열,8
1552,폭발,8
1553,관세청,8
1554,원대,8
1555,문서,8
1556,노동당,8
1557,전용,8
1558,최근,8
1559,갱도,8
1560,얼굴,8
1561,동창,8
1562,노스,8
1563,도덕성,8
1564,돋보기,8
1565,인재,8
1566,창현,8
1567,친선,8
1568,격돌,8
1569,현지,8
1570,규명,8
1571,화해,8
1572,추석,8
1573,전혀,8
1574,관세,8
1575,필리핀,8
1576,후퇴,8
1577,논평,8
1578,이도훈,8
1579,정례,8
1580,브리핑,8
1581,주적,8
1582,장애인,8
