,경제단어
386,"('다시', 20)"
387,"('열사', 20)"
388,"('고발', 20)"
389,"('시작', 20)"
390,"('부담', 20)"
391,"('검찰', 20)"
392,"('투자자', 20)"
393,"('폭탄', 20)"
394,"('다른', 20)"
395,"('현실', 20)"
396,"('후', 20)"
397,"('보유', 20)"
398,"('안정', 20)"
399,"('방', 20)"
400,"('교수', 20)"
401,"('자원', 19)"
402,"('협의', 19)"
403,"('시행', 19)"
404,"('상의', 19)"
405,"('사업자', 19)"
406,"('부과', 19)"
407,"('포토', 19)"
408,"('무', 19)"
409,"('노사', 19)"
410,"('수수료', 19)"
411,"('절반', 19)"
412,"('후보', 19)"
413,"('전략', 19)"
414,"('국가', 19)"
415,"('활용', 19)"
416,"('대응', 19)"
417,"('시간', 19)"
418,"('층', 19)"
419,"('불법', 19)"
420,"('구매', 19)"
421,"('결정', 19)"
422,"('앱', 19)"
423,"('국', 19)"
424,"('압박', 19)"
425,"('구글', 19)"
426,"('불', 19)"
427,"('착수', 19)"
428,"('혜택', 19)"
429,"('진에어', 19)"
430,"('준비', 18)"
431,"('우선', 18)"
432,"('협', 18)"
433,"('직', 18)"
434,"('외국인', 18)"
435,"('이마트', 18)"
436,"('이제', 18)"
437,"('인사', 18)"
438,"('스타트업', 18)"
439,"('공식', 18)"
440,"('전세', 18)"
441,"('장', 18)"
442,"('직접', 18)"
443,"('날', 18)"
444,"('임', 18)"
445,"('적발', 18)"
446,"('익', 18)"
447,"('이통', 18)"
448,"('위해', 18)"
449,"('평가', 18)"
450,"('데이터', 18)"
451,"('수사', 18)"
452,"('백화점', 18)"
453,"('확인', 18)"
454,"('말', 18)"
455,"('상품', 18)"
456,"('분석', 18)"
457,"('공유', 18)"
458,"('차량', 18)"
459,"('단지', 18)"
460,"('담보', 18)"
461,"('행사', 18)"
462,"('청약', 18)"
463,"('이건희', 18)"
464,"('이주열', 18)"
465,"('유지', 18)"
466,"('모비스', 18)"
467,"('시티', 18)"
468,"('코스닥', 18)"
469,"('사외이사', 18)"
470,"('증', 17)"
471,"('공항', 17)"
472,"('중기', 17)"
473,"('실패', 17)"
474,"('어디', 17)"
475,"('통신', 17)"
476,"('구광모', 17)"
477,"('책', 17)"
478,"('자', 17)"
479,"('운영', 17)"
480,"('설립', 17)"
481,"('달라', 17)"
482,"('가입', 17)"
483,"('정', 17)"
484,"('빚', 17)"
485,"('고민', 17)"
486,"('아이', 17)"
487,"('적용', 17)"
488,"('의무', 17)"
489,"('판', 17)"
490,"('발', 17)"
491,"('합병', 17)"
492,"('부실', 17)"
493,"('등록', 17)"
494,"('임대주택', 17)"
495,"('인', 17)"
496,"('요청', 17)"
497,"('생명', 17)"
498,"('가동', 17)"
499,"('하반기', 17)"
500,"('금', 17)"
501,"('가장', 17)"
502,"('유령', 17)"
503,"('분식회계', 16)"
504,"('선위', 16)"
505,"('폰', 16)"
506,"('통계', 16)"
507,"('화학', 16)"
508,"('복지', 16)"
509,"('마련', 16)"
510,"('수익', 16)"
511,"('특별', 16)"
512,"('회계', 16)"
513,"('직장인', 16)"
514,"('손', 16)"
515,"('불평등', 16)"
516,"('중소', 16)"
517,"('전기', 16)"
518,"('전문가', 16)"
519,"('교육', 16)"
520,"('힘', 16)"
521,"('신임', 16)"
522,"('료', 16)"
523,"('분할', 16)"
524,"('구조조정', 16)"
525,"('군산', 16)"
526,"('가지', 16)"
527,"('단체', 16)"
528,"('보증', 16)"
529,"('보복', 16)"
530,"('차단', 16)"
531,"('추천', 16)"
532,"('신동빈', 15)"
533,"('대형', 15)"
534,"('팀', 15)"
535,"('마케팅', 15)"
536,"('세대', 15)"
537,"('박용만', 15)"
538,"('증세', 15)"
539,"('탓', 15)"
540,"('동결', 15)"
541,"('통', 15)"
542,"('대화', 15)"
543,"('시스템', 15)"
544,"('계좌', 15)"
545,"('위반', 15)"
546,"('폐쇄', 15)"
547,"('통합', 15)"
548,"('비중', 15)"
549,"('산업부', 15)"
550,"('성전', 15)"
551,"('일본', 15)"
552,"('조성', 15)"
553,"('호텔', 15)"
554,"('보호', 15)"
555,"('제조업', 15)"
556,"('물', 15)"
557,"('제주', 15)"
558,"('사과', 15)"
559,"('삶', 15)"
560,"('가스', 15)"
561,"('본사', 15)"
562,"('리콜', 15)"
563,"('내정', 15)"
564,"('최태원', 15)"
565,"('개정', 15)"
566,"('브랜드', 15)"
567,"('시민', 15)"
568,"('전면', 15)"
569,"('호', 15)"
570,"('면제', 15)"
571,"('두', 15)"
572,"('카톡', 15)"
573,"('속도', 15)"
574,"('보', 15)"
575,"('유세', 15)"
576,"('분리', 15)"
577,"('마트', 15)"
578,"('스피커', 15)"
579,"('이번', 15)"
580,"('배당', 15)"
581,"('김기식', 15)"
582,"('회의', 14)"
583,"('대폭', 14)"
584,"('유통', 14)"
585,"('해소', 14)"
586,"('유류', 14)"
587,"('인정', 14)"
588,"('성공', 14)"
589,"('보수', 14)"
590,"('공정', 14)"
591,"('확산', 14)"
592,"('물산', 14)"
593,"('글로벌', 14)"
594,"('오늘', 14)"
595,"('제안', 14)"
596,"('허용', 14)"
597,"('신설', 14)"
598,"('가짜', 14)"
599,"('여행', 14)"
600,"('단', 14)"
601,"('소송', 14)"
602,"('디지털', 14)"
603,"('금융위', 14)"
604,"('조선', 14)"
605,"('당국', 14)"
606,"('지수', 14)"
607,"('베트남', 14)"
608,"('불안', 14)"
609,"('부품', 14)"
610,"('인도', 14)"
611,"('서도', 14)"
612,"('손실', 14)"
613,"('적자', 14)"
614,"('지속', 14)"
615,"('모델', 14)"
616,"('기금', 14)"
617,"('입찰', 14)"
618,"('위험', 14)"
619,"('항공사', 14)"
620,"('한수원', 14)"
621,"('집중', 14)"
622,"('효성', 14)"
623,"('전기요금', 14)"
624,"('피', 14)"
625,"('취소', 14)"
626,"('페북', 14)"
627,"('나', 14)"
628,"('생활', 14)"
629,"('협동조합', 14)"
630,"('기재부', 14)"
631,"('한미', 14)"
632,"('기내식', 14)"
633,"('운규', 14)"
634,"('달러', 14)"
635,"('론', 13)"
636,"('유가', 13)"
637,"('테크', 13)"
638,"('목표', 13)"
639,"('결론', 13)"
640,"('강조', 13)"
641,"('온라인', 13)"
642,"('호기', 13)"
643,"('삼바', 13)"
644,"('기준금리', 13)"
645,"('이후', 13)"
646,"('반영', 13)"
647,"('설명', 13)"
648,"('부산', 13)"
649,"('대표이사', 13)"
650,"('조정', 13)"
651,"('기록', 13)"
652,"('고속도로', 13)"
653,"('건강', 13)"
654,"('취임', 13)"
655,"('검', 13)"
656,"('해결', 13)"
657,"('결함', 13)"
658,"('대금', 13)"
659,"('분야', 13)"
660,"('재건축', 13)"
661,"('만', 13)"
662,"('통과', 13)"
663,"('출자', 13)"
664,"('일감', 13)"
665,"('린다', 13)"
666,"('세수', 13)"
667,"('연구', 13)"
668,"('조작', 13)"
669,"('초과', 13)"
670,"('도전', 13)"
671,"('즉시', 13)"
672,"('수주', 13)"
673,"('약속', 13)"
674,"('부정', 13)"
675,"('석탄', 13)"
676,"('매매', 13)"
677,"('빗썸', 13)"
678,"('제외', 13)"
679,"('포인트', 13)"
680,"('개성', 13)"
681,"('시설', 13)"
682,"('자녀', 13)"
683,"('한진', 13)"
684,"('제공', 13)"
685,"('평창올림픽', 13)"
686,"('비트코인', 13)"
687,"('평창', 13)"
688,"('도시', 12)"
689,"('흑자', 12)"
690,"('축소', 12)"
691,"('항공기', 12)"
692,"('불공정', 12)"
693,"('구축', 12)"
694,"('무료', 12)"
695,"('갈등', 12)"
696,"('바람', 12)"
697,"('상황', 12)"
698,"('앞', 12)"
699,"('수준', 12)"
700,"('망', 12)"
701,"('외부', 12)"
702,"('시동', 12)"
703,"('여명', 12)"
704,"('화웨이', 12)"
705,"('둔화', 12)"
706,"('충전', 12)"
707,"('가입자', 12)"
708,"('종합', 12)"
709,"('노인', 12)"
710,"('신용', 12)"
711,"('준', 12)"
712,"('대비', 12)"
713,"('아이폰', 12)"
714,"('부총리', 12)"
715,"('진화', 12)"
716,"('비정규직', 12)"
717,"('개최', 12)"
718,"('지정', 12)"
719,"('텔레콤', 12)"
720,"('붕괴', 12)"
721,"('사퇴', 12)"
722,"('업무', 12)"
723,"('협약', 12)"
724,"('연휴', 12)"
725,"('중심', 12)"
726,"('를', 12)"
727,"('쇼크', 12)"
728,"('뉴', 12)"
729,"('제도', 12)"
730,"('댓글', 12)"
731,"('연구원', 12)"
732,"('터미널', 12)"
733,"('다음', 12)"
734,"('빼', 12)"
735,"('공시가격', 12)"
736,"('현금', 12)"
737,"('장기', 12)"
738,"('급락', 12)"
739,"('승률', 12)"
740,"('과세', 12)"
741,"('업자', 12)"
742,"('세무조사', 12)"
743,"('투기', 12)"
744,"('부당', 12)"
745,"('기준', 12)"
746,"('인기', 12)"
747,"('검사', 12)"
748,"('대신', 12)"
749,"('퇴직', 12)"
750,"('세이프', 12)"
751,"('가드', 12)"
752,"('쪽지', 12)"
753,"('법정관리', 12)"
754,"('리스크', 11)"
755,"('여부', 11)"
756,"('포럼', 11)"
757,"('개시', 11)"
758,"('세탁기', 11)"
759,"('신뢰', 11)"
760,"('업종', 11)"
761,"('매도', 11)"
762,"('생각', 11)"
763,"('집주인', 11)"
764,"('사진', 11)"
765,"('활동', 11)"
766,"('주의', 11)"
767,"('창립', 11)"
768,"('지배', 11)"
769,"('우리은행', 11)"
770,"('상용', 11)"
771,"('감리', 11)"
772,"('동반', 11)"
773,"('편', 11)"
774,"('변경', 11)"
775,"('알', 11)"
776,"('계속', 11)"
777,"('휘발유', 11)"
778,"('라돈', 11)"
779,"('터', 11)"
780,"('비상', 11)"
781,"('활성화', 11)"
782,"('가전', 11)"
783,"('적극', 11)"
784,"('소상', 11)"
785,"('의심', 11)"
786,"('침대', 11)"
787,"('기관', 11)"
788,"('질', 11)"
789,"('행진', 11)"
790,"('체감', 11)"
791,"('변화', 11)"
792,"('타운', 11)"
793,"('저축은행', 11)"
794,"('노', 11)"
795,"('피해자', 11)"
796,"('점주', 11)"
797,"('코리아', 11)"
798,"('신세계', 11)"
799,"('투입', 11)"
800,"('부자', 11)"
801,"('관', 11)"
802,"('기존', 11)"
803,"('확장', 11)"
804,"('부문', 11)"
805,"('뿐', 11)"
806,"('참여연대', 11)"
807,"('특혜', 11)"
808,"('사전', 11)"
809,"('업', 11)"
810,"('호출', 11)"
811,"('준공', 11)"
812,"('원장', 11)"
813,"('환율', 11)"
814,"('슈퍼', 11)"
815,"('긴급', 11)"
816,"('황창규', 11)"
817,"('재개', 11)"
818,"('과', 11)"
819,"('방안', 11)"
820,"('발전소', 11)"
821,"('은행권', 11)"
822,"('항공권', 11)"
823,"('선택', 11)"
824,"('요', 11)"
825,"('드론', 11)"
826,"('방통위', 11)"
827,"('송금', 11)"
828,"('무상', 11)"
829,"('근로', 11)"
830,"('비율', 11)"
831,"('공시', 11)"
832,"('은산', 11)"
833,"('조기', 11)"
834,"('크게', 11)"
835,"('발견', 11)"
836,"('자본', 11)"
837,"('장사', 11)"
838,"('교체', 11)"
839,"('통상', 11)"
840,"('스타', 11)"
841,"('진단', 11)"
842,"('박삼구', 11)"
843,"('차기', 11)"
844,"('실명', 11)"
845,"('정상화', 10)"
846,"('지주회사', 10)"
847,"('먼저', 10)"
848,"('급', 10)"
849,"('폭락', 10)"
850,"('과제', 10)"
851,"('매입', 10)"
852,"('초', 10)"
853,"('진짜', 10)"
854,"('끝', 10)"
855,"('지연', 10)"
856,"('하나은행', 10)"
857,"('비용', 10)"
858,"('세제', 10)"
859,"('탈', 10)"
860,"('상위', 10)"
861,"('근로장려금', 10)"
862,"('주년', 10)"
863,"('공정거래법', 10)"
864,"('사실', 10)"
865,"('포', 10)"
866,"('일부', 10)"
867,"('근거', 10)"
868,"('환경', 10)"
869,"('동반성', 10)"
870,"('타워', 10)"
871,"('보안', 10)"
872,"('수도권', 10)"
873,"('법원', 10)"
874,"('때문', 10)"
875,"('노력', 10)"
876,"('주식시장', 10)"
877,"('반등', 10)"
878,"('신고', 10)"
879,"('열풍', 10)"
880,"('전달', 10)"
881,"('악화', 10)"
882,"('이틀', 10)"
883,"('보고', 10)"
884,"('복귀', 10)"
885,"('출신', 10)"
886,"('배터리', 10)"
887,"('하도급', 10)"
888,"('수급', 10)"
889,"('장애', 10)"
890,"('맥주', 10)"
891,"('카메라', 10)"
892,"('행', 10)"
893,"('가계부채', 10)"
894,"('예약', 10)"
895,"('주거', 10)"
896,"('이사회', 10)"
897,"('전용', 10)"
898,"('종', 10)"
899,"('간', 10)"
900,"('승진', 10)"
901,"('고가', 10)"
902,"('평양', 10)"
903,"('기능', 10)"
904,"('대규모', 10)"
905,"('사의', 10)"
906,"('당첨', 10)"
907,"('다스', 10)"
908,"('국세청', 10)"
909,"('량', 10)"
910,"('자영', 10)"
911,"('기회', 10)"
912,"('총재', 10)"
913,"('년', 10)"
914,"('큐', 10)"
915,"('최악', 10)"
916,"('금융시장', 10)"
917,"('신형', 10)"
918,"('도로', 10)"
919,"('연결', 10)"
920,"('방식', 10)"
921,"('채권', 10)"
922,"('양극화', 10)"
923,"('대란', 10)"
924,"('문자', 10)"
925,"('대체', 10)"
926,"('압수수색', 10)"
927,"('관세청', 10)"
928,"('표', 10)"
929,"('제주항공', 10)"
930,"('개입', 10)"
931,"('예상', 10)"
932,"('보고서', 10)"
933,"('생태계', 9)"
934,"('오후', 9)"
935,"('연간', 9)"
936,"('이동통신', 9)"
937,"('별', 9)"
938,"('연말', 9)"
939,"('심사', 9)"
940,"('정의선', 9)"
941,"('기간', 9)"
942,"('지표', 9)"
943,"('감', 9)"
944,"('디스플레이', 9)"
945,"('주의보', 9)"
946,"('전문', 9)"
947,"('족', 9)"
948,"('커피', 9)"
949,"('이란', 9)"
950,"('페이', 9)"
951,"('하향', 9)"
952,"('매장', 9)"
953,"('하위', 9)"
954,"('인천', 9)"
955,"('카풀', 9)"
956,"('상환', 9)"
957,"('횡령', 9)"
958,"('친', 9)"
959,"('사용자', 9)"
960,"('막', 9)"
961,"('투표', 9)"
962,"('농협', 9)"
963,"('한반도', 9)"
964,"('철수', 9)"
965,"('비행', 9)"
966,"('신혼', 9)"
967,"('체결', 9)"
968,"('추락', 9)"
969,"('비교', 9)"
970,"('실', 9)"
971,"('이용자', 9)"
972,"('강세', 9)"
973,"('조건', 9)"
974,"('순환', 9)"
975,"('기부', 9)"
976,"('공매도', 9)"
977,"('잠정', 9)"
978,"('개편안', 9)"
979,"('급감', 9)"
980,"('인구', 9)"
981,"('핀', 9)"
982,"('무더기', 9)"
983,"('번', 9)"
984,"('알바', 9)"
985,"('동향', 9)"
986,"('경험', 9)"
987,"('포함', 9)"
988,"('정규직', 9)"
989,"('화장품', 9)"
990,"('수요', 9)"
991,"('교통사고', 9)"
992,"('자도', 9)"
993,"('광물', 9)"
994,"('찬성', 9)"
995,"('시공', 9)"
996,"('확', 9)"
997,"('철도', 9)"
998,"('친환경', 9)"
999,"('내달', 9)"
1000,"('운용', 9)"
1001,"('연봉', 9)"
1002,"('진실', 9)"
1003,"('모든', 9)"
1004,"('짬짜미', 9)"
1005,"('세상', 9)"
1006,"('면세점', 9)"
1007,"('주민', 9)"
1008,"('쿼터', 9)"
1009,"('협회장', 9)"
1010,"('전원', 9)"
1011,"('후퇴', 9)"
1012,"('암호', 9)"
1013,"('선물', 9)"
1014,"('재계', 9)"
1015,"('목소리', 9)"
1016,"('도세', 9)"
1017,"('부', 9)"
1018,"('공간', 9)"
1019,"('간편', 9)"
1020,"('김현종', 9)"
1021,"('택배', 9)"
1022,"('무제한', 9)"
1023,"('인재', 9)"
1024,"('연체', 9)"
1025,"('팔', 9)"
1026,"('노후', 9)"
1027,"('증권사', 9)"
1028,"('약정', 9)"
1029,"('영상', 9)"
1030,"('태풍', 9)"
1031,"('에어컨', 9)"
1032,"('추경', 9)"
1033,"('출발', 9)"
1034,"('글로비스', 9)"
1035,"('집단소송', 9)"
1036,"('보상', 9)"
1037,"('이사', 9)"
1038,"('액면', 9)"
1039,"('승무원', 9)"
1040,"('구직', 9)"
1041,"('주파수', 9)"
1042,"('사임', 9)"
1043,"('회생', 9)"
1044,"('차명계좌', 9)"
1045,"('내부', 8)"
1046,"('연대', 8)"
1047,"('전경련', 8)"
1048,"('위로', 8)"
1049,"('역할', 8)"
1050,"('클릭', 8)"
1051,"('모듈', 8)"
1052,"('눈', 8)"
1053,"('수상', 8)"
1054,"('한빛', 8)"
1055,"('보험료', 8)"
1056,"('보험사', 8)"
1057,"('운행', 8)"
1058,"('누구', 8)"
1059,"('거부', 8)"
1060,"('실험', 8)"
1061,"('거', 8)"
1062,"('개막', 8)"
1063,"('배제', 8)"
1064,"('제네시스', 8)"
1065,"('더블', 8)"
1066,"('교류', 8)"
1067,"('원인', 8)"
1068,"('중공업', 8)"
1069,"('체제', 8)"
1070,"('맞춤', 8)"
1071,"('권리', 8)"
1072,"('최정우', 8)"
1073,"('상인', 8)"
1074,"('취약', 8)"
1075,"('꿈', 8)"
1076,"('행복', 8)"
1077,"('기사', 8)"
1078,"('홈플러스', 8)"
1079,"('기본', 8)"
1080,"('영화', 8)"
1081,"('직스', 8)"
1082,"('언론', 8)"
1083,"('근로자', 8)"
1084,"('늘', 8)"
1085,"('아시아', 8)"
1086,"('이사장', 8)"
1087,"('라인', 8)"
1088,"('빅데이터', 8)"
1089,"('쌍용차', 8)"
1090,"('공포', 8)"
1091,"('감시', 8)"
1092,"('거점', 8)"
1093,"('생존', 8)"
1094,"('수소', 8)"
1095,"('사태', 8)"
1096,"('대림', 8)"
1097,"('남성', 8)"
1098,"('버스', 8)"
1099,"('최근', 8)"
1100,"('차이', 8)"
1101,"('고', 8)"
